Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS,Group
10267,,,None,10.10.1.103,tcp,22,SSH Server Type and Version Information,An SSH server is listening on this port.,"It is possible to obtain information about the remote SSH server by
sending an empty authentication request.",n/a,,"
SSH version : SSH-2.0-OpenSSH_6.2
SSH supported authentication : publickey,password
",,,,,None,,IAVT:0001-T-0933,,12/10/1999,22/09/2020,,,,Unix Cloud
10287,,,None,10.10.1.103,udp,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,n/a,,"For your information, here is the traceroute from 10.81.234.6 to 10.10.1.103 : 
10.81.234.6
10.81.234.5
10.10.1.103
Hop Count: 2
",,,,,None,,,,27/11/1999,20/08/2020,,,,Unix Cloud
10551,,,None,10.10.1.103,udp,161,SNMP Request Network Interfaces Enumeration,"The list of network interfaces cards of the remote host can be obtained via
SNMP.","It is possible to obtain the list of the network interfaces installed
on the remote host by sending SNMP requests with the OID 1.3.6.1.2.1.2.1.0
An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.",,"
 Interface 1 information :
 ifIndex       : 805306369
 ifDescr       : eth0
 ifPhysAddress : 8894712de1e5
 Interface 2 information :
 ifIndex       : 805306370
 ifDescr       : lo
 ifPhysAddress : 
 Interface 3 information :
 ifIndex       : 805306371
 ifDescr       : sit0
 ifPhysAddress : 
 Interface 4 information :
 ifIndex       : 805306372
 ifDescr       : ip6tnl0
 ifPhysAddress : 
 Interface 5 information :
 ifIndex       : 805306373
 ifDescr       : fc0
 ifPhysAddress : 8894712de1e5
 Interface 6 information :
 ifIndex       : 805306374
 ifDescr       : port0
 ifPhysAddress : 8894712de1e5
 Interface 7 information :
 ifIndex       : 1073741824
 ifDescr       : FC port 0/0
 ifPhysAddress : 313936363038
 Interface 8 information :
 ifIndex       : 1073741825
 ifDescr       : FC port 0/1
 ifPhysAddress : 313936383634
 Interface 9 information :
 ifIndex       : 1073741826
 ifDescr       : FC port 0/2
 ifPhysAddress : 313937313230
 Interface 10 information :
 ifIndex       : 1073741827
 ifDescr       : FC port 0/3
 ifPhysAddress : 313937333736
 Interface 11 information :
 ifIndex       : 1073741828
 ifDescr       : FC port 0/4
 ifPhysAddress : 313937363332
 Interface 12 information :
 ifIndex       : 1073741829
 ifDescr       : FC port 0/5
 ifPhysAddress : 313937383838
 Interface 13 information :
 ifIndex       : 1073741830
 ifDescr       : FC port 0/6
 ifPhysAddress : 313938313434
 Interface 14 information :
 ifIndex       : 1073741831
 ifDescr       : FC port 0/7
 ifPhysAddress : 313938343030
 Interface 15 information :
 ifIndex       : 1073741832
 ifDescr       : FC port 0/8
 ifPhysAddress : 313938363536
 Interface 16 information :
 ifIndex       : 1073741833
 ifDescr       : FC port 0/9
 ifPhysAddress : 313938393132
 Interface 17 information :
 ifIndex       : 1073741834
 ifDescr       : FC port 0/10
 ifPhysAddress : 313939313638
 Interface 18 information :
 ifIndex       : 1073741835
 ifDescr       : FC port 0/11
 ifPhysAddress : 313939343234
 Interface 19 information :
 ifIndex       : 1073741836
 ifDescr       : FC port 0/12
 ifPhysAddress : 313939363830
 Interface 20 information :
 ifIndex       : 1073741837
 ifDescr       : FC port 0/13
 ifPhysAddress : 313939393336
 Interface 21 information :
 ifIndex       : 1073741838
 ifDescr       : FC port 0/14
 ifPhysAddress : 323030313932
 Interface 22 information :
 ifIndex       : 1073741839
 ifDescr       : FC port 0/15
 ifPhysAddress : 323030343438
 Interface 23 information :
 ifIndex       : 1073741840
 ifDescr       : FC port 0/16
 ifPhysAddress : 323030373034
 Interface 24 information :
 ifIndex       : 1073741841
 ifDescr       : FC port 0/17
 ifPhysAddress : 323030393630
 Interface 25 information :
 ifIndex       : 1073741842
 ifDescr       : FC port 0/18
 ifPhysAddress : 323031323136
 Interface 26 information :
 ifIndex       : 1073741843
 ifDescr       : FC port 0/19
 ifPhysAddress : 323031343732
 Interface 27 information :
 ifIndex       : 1073741844
 ifDescr       : FC port 0/20
 ifPhysAddress : 323031373238
 Interface 28 information :
 ifIndex       : 1073741845
 ifDescr       : FC port 0/21
 ifPhysAddress : 323031393834
 Interface 29 information :
 ifIndex       : 1073741846
 ifDescr       : FC port 0/22
 ifPhysAddress : 323032323430
 Interface 30 information :
 ifIndex       : 1073741847
 ifDescr       : FC port 0/23
 ifPhysAddress : 323032343936
",,,,,None,,,,13/11/2000,24/05/2011,,,,Unix Cloud
10800,,,None,10.10.1.103,udp,161,SNMP Query System Information Disclosure,The System Information of the remote host can be obtained via SNMP.,"It is possible to obtain the system information about the remote
host by sending SNMP requests with the OID 1.3.6.1.2.1.1.1.
An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.",,"System information :
 sysDescr     : Fibre Channel Switch.
 sysObjectID  : 1.3.6.1.4.1.1588.2.1.1.118
 sysUptime    : Time is too big to be decoded : 0x00878b3998 ms
 sysContact   : Field Support.
 sysName      : inet_san3_dr
 sysLocation  : End User Premise.
 sysServices  : 79
",,,,,None,,,,06/11/2001,03/12/2019,,,,Unix Cloud
10881,,,None,10.10.1.103,tcp,22,SSH Protocol Versions Supported,A SSH server is running on the remote host.,"This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.",n/a,,"The remote SSH daemon supports the following versions of the
SSH protocol :
  - 1.99
  - 2.0
",,,,,None,,,,06/03/2002,19/01/2021,,,,Unix Cloud
11936,,,None,10.10.1.103,tcp,0,OS Identification,It is possible to guess the remote operating system.,"Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.",n/a,,"
Remote operating system : Brocade Switch
Confidence level : 98
Method : SNMP
 
The remote host is running Brocade Switch",,,,,None,,,,09/12/2003,18/01/2022,,,,Unix Cloud
14274,,,None,10.10.1.103,tcp,0,Nessus SNMP Scanner,SNMP information is enumerated to learn about other open ports.,"This plugin runs an SNMP scan against the remote machine to find open
ports.
See the section 'plugins options' to configure it.",n/a,,"
Nessus SNMP scanner was able to retrieve the open port list
with the community name: p*****
It found 1 open TCP ports and 5 open UDP ports.
",,,,,None,,,,15/08/2004,29/01/2018,,,,Unix Cloud
14274,,,None,10.10.1.103,tcp,22,Nessus SNMP Scanner,SNMP information is enumerated to learn about other open ports.,"This plugin runs an SNMP scan against the remote machine to find open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 22/tcp was found to be open,,,,,None,,,,15/08/2004,29/01/2018,,,,Unix Cloud
14274,,,None,10.10.1.103,udp,161,Nessus SNMP Scanner,SNMP information is enumerated to learn about other open ports.,"This plugin runs an SNMP scan against the remote machine to find open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 161/udp was found to be open,,,,,None,,,,15/08/2004,29/01/2018,,,,Unix Cloud
14274,,,None,10.10.1.103,udp,32770,Nessus SNMP Scanner,SNMP information is enumerated to learn about other open ports.,"This plugin runs an SNMP scan against the remote machine to find open
ports.
See the section 'plugins options' to configure it.",n/a,,Port 32770/udp was found to be open,,,,,None,,,,15/08/2004,29/01/2018,,,,Unix Cloud
