Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS,Group
10114,CVE-1999-0524,0,None,192.168.12.1,icmp,0,ICMP Timestamp Request Remote Date Disclosure,It is possible to determine the exact time set on the remote host.,"The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).",,"The difference between the local and remote clocks is 6652 seconds.
",,0,,,None,,CWE:200,,08/01/1999,10/04/2019,,,,CCTV1 Switch Phase 1
10287,,,None,192.168.12.1,udp,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,n/a,,"For your information, here is the traceroute from 192.168.12.200 to 192.168.12.1 : 
192.168.12.200
192.168.12.1

Hop Count: 1
",,,,,None,,,,11/27/1999,8/20/2020,,,,CCTV1 Switch Phase 1
11154,,,None,192.168.12.1,tcp,5000,Unknown Service Detection: Banner Retrieval,There is an unknown service running on the remote host.,"Nessus was unable to identify a service on the remote host even though
it returned a banner of some type.",n/a,,"
If you know what this service is and think the banner could be used to
identify it, please send a description of the service along with the
following output to svc-signatures@nessus.org :

  Port   : 5000
  Type   : spontaneous
  Banner : 
0x00:  61 63 74 69 6F 6E 3D 65 76 65 6E 74 26 61 6C 61    action=event&ala
           0x10:  72 6D 3D 30 26 74 69 6D 65 3D 31 36 34 35 30 36    rm=0&time=164506
           0x20:  34 33 33 39 26 6F 6E 3D 30                         4339&on=0       
           
",,,,,None,,,,11/18/2002,7/24/2018,,,,CCTV1 Switch Phase 1
11219,,,None,192.168.12.1,tcp,25,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 25/tcp was found to be open,,,,,None,,,,02/04/2009,2/14/2022,,,,CCTV1 Switch Phase 1
11219,,,None,192.168.12.1,tcp,80,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 80/tcp was found to be open,,,,,None,,,,02/04/2009,2/14/2022,,,,CCTV1 Switch Phase 1
11219,,,None,192.168.12.1,tcp,134,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 134/tcp was found to be open,,,,,None,,,,02/04/2009,2/14/2022,,,,CCTV1 Switch Phase 1
11219,,,None,192.168.12.1,tcp,443,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 443/tcp was found to be open,,,,,None,,,,02/04/2009,2/14/2022,,,,CCTV1 Switch Phase 1
11219,,,None,192.168.12.1,tcp,554,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 554/tcp was found to be open,,,,,None,,,,02/04/2009,2/14/2022,,,,CCTV1 Switch Phase 1
11219,,,None,192.168.12.1,tcp,5000,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 5000/tcp was found to be open,,,,,None,,,,02/04/2009,2/14/2022,,,,CCTV1 Switch Phase 1
11936,,,None,192.168.12.1,tcp,0,OS Identification,It is possible to guess the remote operating system.,"Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.",n/a,,"
Remote operating system : Canon imageRUNNER Printer
Confidence level : 56
Method : MLSinFP

 
The remote host is running Canon imageRUNNER Printer",,,,,None,,,,12/09/2003,1/18/2022,,,,CCTV1 Switch Phase 1
