Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","10.150.1.21","tcp","30001","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

fasthttp","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","10.150.1.21","tcp","30002","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

fasthttp","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10114","CVE-1999-0524","0.0","None","10.150.1.21","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The remote clock is synchronized with the local clock.
","","0.0","","","None","","CWE:200","","1999/08/01","2019/10/04","","",""
"10267","","","None","10.150.1.21","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-                               
SSH supported authentication : publickey,password
","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2020/09/22","","",""
"10287","","","None","10.150.1.21","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 172.20.33.146 to 10.150.1.21 : 
172.20.33.146
172.20.33.1
172.17.63.17
172.17.63.10
172.27.63.14
172.27.63.9
172.27.63.22
10.150.1.21

Hop Count: 7
","","","","","None","","","","1999/11/27","2020/08/20","","",""
"10386","","","None","10.150.1.21","tcp","9100","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","The following title tag will be used :
Node Exporter","","","","","None","","","","2000/04/28","2020/06/12","","",""
"10863","","","None","10.150.1.21","tcp","6443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: CN
State/Province: HangZhou
Locality: XS
Organization: k8s
Organization Unit: System
Common Name: kubernetes

Issuer Name: 

Country: CN
State/Province: HangZhou
Locality: XS
Organization: k8s
Organization Unit: System
Common Name: kubernetes

Serial Number: 4F 20 39 44 A9 59 B5 73 96 FD C2 5C E7 1D D8 BA 51 83 90 79 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Dec 31 04:14:00 2021 GMT
Not Valid After: Dec 19 04:14:00 2071 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 CF B7 8B 96 B1 C0 91 6C 95 D8 3D A3 B1 B8 D5 00 25 EE 81 
            B9 DB 07 BF A2 AC B2 C2 41 DE 91 94 D0 54 C7 6E 55 EE B2 5C 
            FE 34 51 4E 1D C5 D2 76 C8 2A 57 C0 17 94 19 D4 0D 98 07 E2 
            C3 44 07 CC DE 29 07 C2 78 33 B7 F9 2E 6F F3 FB 49 35 71 E9 
            2D 91 6B EE 6A E6 C8 B9 51 E7 C7 58 E1 84 51 CC DA ED F5 1E 
            B9 2B F0 7A 30 54 07 92 AE 88 9A EB 50 3C CF 5E BD BB 3B A7 
            CA EB 6A DC 9B 05 DE C9 F8 6E 25 F4 A0 3F F9 9D 05 3F 47 BF 
            00 C8 88 4B 20 B8 93 95 28 1A DA 2A 89 8F 91 D0 A6 11 4D A4 
            A7 17 C4 B0 45 D3 F8 2C 87 7A A1 30 76 A3 D1 3A 31 14 D2 E5 
            75 2E 8D 78 14 54 2F 59 8B B7 9E 50 E1 55 05 51 87 6D CB 94 
            BE B4 4F 6F 86 40 CA 4C B8 E5 15 2D 1E 9E B7 8D 04 2D 63 4C 
            2C 20 12 FE 66 17 66 40 48 D3 B3 3B BE 02 8D B5 F9 96 5E 5D 
            78 A9 A4 51 81 EE 36 BA 1B F8 8F BA AE E3 2D C6 77 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 E3 DD AF 7D ED 72 01 8F 84 88 54 9E 82 8A 73 6E E5 18 AD 
           6D 66 B1 95 C8 C9 F3 78 24 D5 8E 05 F1 56 9C ED 3C 2E F7 93 
           37 17 37 87 D5 C9 C3 7B 4A DD 0E 19 A5 E7 2C 89 A8 13 96 B0 
           25 AF 4E D7 24 FE 62 80 39 DA 14 3A 9C 01 74 75 8A 9E 64 5E 
           73 5A 4C 24 43 1B 9A 04 15 18 96 45 25 8E F7 34 07 F3 5E 05 
           70 2F B5 24 38 6A CD 22 B4 D3 0C ED 8E A3 D8 EE 52 67 0C C2 
           F0 66 DD B1 EB DD F5 9D BD EA D9 A3 34 EF 22 DC 65 7D EE 52 
           03 E9 2D DF 2A 09 58 89 0D 91 B7 EB 92 9D A7 AD 26 43 D3 58 
           E5 7E 20 CA 13 AD 38 B2 13 75 43 AC A7 C5 61 51 AA 02 AE 4D 
           FD 70 73 39 9F FB 2C 4D 5A E9 76 0D C2 2B EA 3E E3 6D 24 E1 
           F0 B5 CD F7 4A 46 63 CF 36 97 B5 5D 1E 8D 7C 86 BD 18 94 DC 
           2B 19 7F 88 CB 93 90 84 DE A4 24 20 8A 48 9E 23 46 BC A6 9F 
           CE DC C5 8A F7 FE A2 CB B9 5E DD A9 07 61 37 EA 5D 

Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)
Purpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)


Extension: Basic Constraints (2.5.29.19)
Critical: 1


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 73 21 5A B1 B2 F0 C9 35 B4 8D E0 12 63 58 F4 66 3A 7E 63 3D 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 1B 6B 55 03 58 48 0C 47 24 29 EC 1B 7D E7 DB C2 FD BA EB B3 


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: k8s.test.io
DNS: kubernetes
DNS: kubernetes.default
DNS: kubernetes.default.svc
DNS: kubernetes.default.svc.cluster
DNS: kubernetes.default.svc.cluster.local


Fingerprints : 

SHA-256 Fingerprint: 15 2D 27 4E EC 41 87 E7 4E AD BD 98 DB 0E 82 0A FA D0 68 7D 
                     D3 B6 6B 15 0A 58 35 E3 5F A2 A5 88 
SHA-1 Fingerprint: 42 3D 65 CA CB 96 8D 8C 90 B6 49 34 66 5D B5 16 24 96 22 43 
MD5 Fingerprint: 87 2C 69 1E 62 93 0C 7D 0D 1A BD 49 2E C8 76 3D 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIEhjCCA26gAwIBAgIUTyA5RKlZtXOW/cJc5x3YulGDkHkwDQYJKoZIhvcNAQELBQAwYTELMAkGA1UEBhMCQ04xETAPBgNVBAgTCEhhbmdaaG91MQswCQYDVQQHEwJYUzEMMAoGA1UEChMDazhzMQ8wDQYDVQQLEwZTeXN0ZW0xEzARBgNVBAMTCmt1YmVybmV0ZXMwIBcNMjExMjMxMDQxNDAwWhgPMjA3MTEyMTkwNDE0MDBaMGExCzAJBgNVBAYTAkNOMREwDwYDVQQIEwhIYW5nWmhvdTELMAkGA1UEBxMCWFMxDDAKBgNVBAoTA2s4czEPMA0GA1UECxMGU3lzdGVtMRMwEQYDVQQDEwprdWJlcm5ldGVzMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAz7eLlrHAkWyV2D2jsbjVACXugbnbB7+irLLCQd6RlNBUx25V7rJc/jRRTh3F0nbIKlfAF5QZ1A2YB+LDRAfM3ikHwngzt/kub/P7STVx6S2Ra+5q5si5UefHWOGEUcza7fUeuSvwejBUB5KuiJrrUDzPXr27O6fK62rcmwXeyfhuJfSgP/mdBT9HvwDIiEsguJOVKBraKomPkdCmEU2kpxfEsEXT+CyHeqEwdqPROjEU0uV1Lo14FFQvWYu3nlDhVQVRh23LlL60T2+GQMpMuOUVLR6et40ELWNMLCAS/mYXZkBI07M7vgKNtfmWXl14qaRRge42uhv4j7qu4y3GdwIDAQABo4IBMjCCAS4wDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBRzIVqxsvDJNbSN4BJjWPRmOn5jPTAfBgNVHSMEGDAWgBQba1UDWEgMRyQp7Bt959vC/brrszCBrgYDVR0RBIGmMIGjggtrOHMudGVzdC5pb4IKa3ViZXJuZXRlc4ISa3ViZXJuZXRlcy5kZWZhdWx0ghZrdWJlcm5ldGVzLmRlZmF1bHQuc3Zjgh5rdWJlcm5ldGVzLmRlZmF1bHQuc3ZjLmNsdXN0ZXKCJGt1YmVybmV0ZXMuZGVmYXVsdC5zdmMuY2x1c3Rlci5sb2NhbIcEfwAAAYcECpYBFYcEwKgAAYcECgEBATANBgkqhkiG9w0BAQsFAAOCAQEA492vfe1yAY+EiFSegopzbuUYrW1msZXIyfN4JNWOBfFWnO08LveTNxc3h9XJw3tK3Q4ZpecsiagTlrAlr07XJP5igDnaFDqcAXR1ip5kXnNaTCRDG5oEFRiWRSWO9zQH814FcC+1JDhqzSK00wztjqPY7lJnDMLwZt2x6931nb3q2aM07yLcZX3uUgPpLd8qCViJDZG365Kdp60mQ9NY5X4gyhOtOLITdUOsp8VhUaoCrk39cHM5n/ssTVrpdg3CK+o+420k4fC1zfdKRmPPNpe1XR6NfIa9GJTcKxl/iMuTkITepCQgikieI0a8pp/O3MWK9/6iy7le3akHYTfqXQ==
-----END CERTIFICATE-----","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10881","","","None","10.150.1.21","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 2.0
","","","","","None","","","","2002/03/06","2021/01/19","","",""
"11153","","","None","10.150.1.21","tcp","6443","Service Detection (HELP Request)","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives a 'HELP'
request.","n/a","","A web server seems to be running on this port.","","","","","None","","","","2002/11/18","2018/11/26","","",""
"11153","","","None","10.150.1.21","tcp","30001","Service Detection (HELP Request)","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives a 'HELP'
request.","n/a","","A web server seems to be running on this port.","","","","","None","","","","2002/11/18","2018/11/26","","",""
"11219","","","None","10.150.1.21","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","10.150.1.21","tcp","6443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 6443/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","10.150.1.21","tcp","8001","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 8001/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","10.150.1.21","tcp","9100","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 9100/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","10.150.1.21","tcp","30001","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 30001/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
