Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10223","CVE-1999-0632","0.0","None","172.31.3.115","udp","111","RPC portmapper Service Detection","An ONC RPC portmapper is running on the remote host.","The RPC portmapper is running on this port.

The portmapper allows someone to get the port number of each RPC
service running on the remote host by sending either multiple lookup
requests or a DUMP request.","n/a","","","","0.0","","","None","","","","1999/08/19","2019/10/04","","",""
"10267","","","None","172.31.3.115","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_8.0
SSH supported authentication : publickey,gssapi-keyex,gssapi-with-mic,password
SSH banner : 
Authorized uses only. All activity may be monitored and reported.

","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2020/09/22","","",""
"10287","","","None","172.31.3.115","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 172.20.33.128 to 172.31.3.115 : 
172.20.33.128
172.20.33.1
172.17.63.18
172.17.63.10
172.27.63.14
172.27.63.9
172.27.63.86
172.31.3.115

Hop Count: 7
","","","","","None","","","","1999/11/27","2020/08/20","","",""
"10881","","","None","172.31.3.115","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","","","","None","","","","2002/03/06","2021/01/19","","",""
"10919","","","None","172.31.3.115","tcp","0","Open Port Re-check","Previously open ports are now closed.","One of several ports that were previously open are now closed or
unresponsive.

There are several possible reasons for this :

  - The scan may have caused a service to freeze or stop
    running.

  - An administrator may have stopped a particular service
    during the scanning process.

This might be an availability problem related to the following :

  - A network outage has been experienced during the scan,
    and the remote network cannot be reached anymore by the
    scanner.

  - This scanner may has been blacklisted by the system
    administrator or by an automatic intrusion detection /
    prevention system that detected the scan.

  - The remote host is now down, either because a user
    turned it off during the scan or because a select denial
    of service was effective.

In any case, the audit of the remote host might be incomplete and may
need to be done again.","- Increase checks_read_timeout and/or reduce max_checks.

- Disable any IPS during the Nessus scan","","Port 4014 was detected as being open but is now closed
","","","","","None","","IAVB:0001-B-0509","","2002/03/19","2021/07/23","","",""
"11154","","","None","172.31.3.115","tcp","8000","Unknown Service Detection: Banner Retrieval","There is an unknown service running on the remote host.","Nessus was unable to identify a service on the remote host even though
it returned a banner of some type.","n/a","","
If you know what this service is and think the banner could be used to
identify it, please send a description of the service along with the
following output to svc-signatures@nessus.org :

  Port   : 8000
  Type   : get_http
  Banner : 
0x0000:  3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31    <?xml version=""1
           0x0010:  2E 30 22 20 65 6E 63 6F 64 69 6E 67 3D 22 55 54    .0"" encoding=""UT
           0x0020:  46 2D 38 22 3F 3E 3C 61 70 69 53 79 73 45 72 72    F-8""?><apiSysErr
           0x0030:  2D 53 79 73 45 72 72 6F 72 3E 3C 61 70 69 53 79    -SysError><apiSy
           0x0040:  73 45 72 72 2D 65 72 72 6F 72 43 6F 64 65 3E 32    sErr-errorCode>2
           0x0050:  30 30 32 3C 2F 61 70 69 53 79 73 45 72 72 2D 65    002</apiSysErr-e
           0x0060:  72 72 6F 72 43 6F 64 65 3E 3C 61 70 69 53 79 73    rrorCode><apiSys
           0x0070:  45 72 72 2D 65 72 72 6F 72 4D 65 73 73 61 67 65    Err-errorMessage
           0x0080:  3E 49 6E 76 61 6C 69 64 20 52 65 71 75 65 73 74    >Invalid Request
           0x0090:  20 54 79 70 65 3C 2F 61 70 69 53 79 73 45 72 72     Type</apiSysErr
           0x00A0:  2D 65 72 72 6F 72 4D 65 73 73 61 67 65 3E 3C 61    -errorMessage><a
           0x00B0:  70 69 53 79 73 45 72 72 2D 65 72 72 6F 72 44 65    piSysErr-errorDe
           0x00C0:  74 61 69 6C 3E 3C 2F 61 70 69 53 79 73 45 72 72    tail></apiSysErr
           0x00D0:  2D 65 72 72 6F 72 44 65 74 61 69 6C 3E 3C 61 70    -errorDetail><ap
           0x00E0:  69 53 79 73 45 72 72 2D 62 72 61 6E 64 4E 61 6D    iSysErr-brandNam
           0x00F0:  65 3E 3C 2F 61 70 69 53 79 73 45 72 72 2D 62 72    e></apiSysErr-br
           0x0100:  61 6E 64 4E 61 6D 65 3E 3C 2F 61 70 69 53 79 73    andName></apiSys
           0x0110:  45 72 72 2D 53 79 73 45 72 72 6F 72 3E             Err-SysError>   
           
","","","","","None","","","","2002/11/18","2018/07/24","","",""
"11219","","","None","172.31.3.115","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","172.31.3.115","tcp","111","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 111/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","172.31.3.115","tcp","4014","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 4014/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","172.31.3.115","tcp","5400","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 5400/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","172.31.3.115","tcp","5402","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 5402/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","172.31.3.115","tcp","5405","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 5405/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","172.31.3.115","tcp","8000","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 8000/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","172.31.3.115","tcp","8009","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 8009/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","172.31.3.115","tcp","8080","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 8080/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"11219","","","None","172.31.3.115","tcp","22222","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22222/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
