Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS,Group
10267,,,None,10.11.12.123,tcp,22,SSH Server Type and Version Information,An SSH server is listening on this port.,"It is possible to obtain information about the remote SSH server by
sending an empty authentication request.",n/a,,"
SSH version : SSH-2.0-Gnhqc0d0l
SSH supported authentication : publickey,password
",,,,,None,,IAVT:0001-T-0933,,12/10/1999,22/09/2020,,,,Network Group
10386,,,None,10.11.12.123,tcp,80,Web Server No 404 Error Code Check,The remote web server does not return 404 error codes.,"The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.",n/a,,"

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was : 

    http://10.11.12.123/QuRaydV7OL_L.html
",,,,,None,,,,28/04/2000,12/06/2020,,,,Network Group
10863,,,None,10.11.12.123,tcp,8010,SSL Certificate Information,This plugin displays the SSL certificate.,"This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.",n/a,,"Subject Name: 

Country: US
State/Province: California
Locality: Sunnyvale
Organization: Fortinet
Organization Unit: FortiGate
Common Name: FortiGate
Email Address: support@fortinet.com

Issuer Name: 

Country: US
State/Province: California
Locality: Sunnyvale
Organization: Fortinet
Organization Unit: Certificate Authority
Common Name: support
Email Address: support@fortinet.com

Serial Number: 02 41 C8 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Jul 16 00:33:11 2015 GMT
Not Valid After: Jan 19 03:14:07 2038 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 A8 E3 20 1C 37 29 A1 92 46 06 3F 19 BE 4B 6C 05 05 40 05 
            CD 06 DA EC E4 CB 56 D8 EF 83 42 71 D9 CF FA 59 B6 E7 A7 61 
            D7 6B 24 43 31 0E 3A 39 06 0E 08 CD 59 33 0A 27 9D 47 0C 98 
            AD CB B7 B8 98 3C 0E 83 BC EE 08 82 29 3C CC 7C 1F B6 06 C4 
            A0 13 5A 57 48 9E 52 2F 30 43 49 0E 18 CE 03 4D A7 58 0E 1B 
            41 F0 5C EB EB DD 4C 79 39 7E 4B 36 41 5C 07 9A 56 A1 D9 44 
            CC 52 CF 8F C5 B5 67 E3 A8 86 3E 20 55 DA E5 3B A2 46 2C EF 
            2E 33 13 59 34 9E 2E F9 49 A7 63 C0 6F A6 BD 49 0B 8B EA 3D 
            A4 1B 0F ED B9 00 7C 46 00 F4 82 40 BE 60 94 8D 13 2E 59 C6 
            73 43 74 4B BD FA 1C 84 59 A4 C9 54 9D F0 C9 04 64 06 C7 E1 
            91 21 BC 47 54 82 82 FC E5 B9 83 53 8C 7B 8B AA B3 D2 07 73 
            BE 30 FF 0A 52 35 59 E8 18 65 B9 BA 7A E8 EF E2 0B 31 EA 35 
            57 2E CB 73 8E 01 84 1E 7E 34 E1 86 F3 4E 5F C2 7D 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 A5 1D 72 7E DE F4 75 9B 03 D8 B4 CE E1 62 A7 83 33 14 4D 
           98 41 B1 C2 B7 19 8F 9B FE 02 BE 1C 83 BE 32 84 D2 49 BB 3B 
           50 B0 05 9F C4 2E A3 3E 07 8D CC 21 E7 11 CE 5C 67 A9 83 F7 
           24 2F EE 58 29 8D 67 29 DE 22 DB 2D 06 5B DA 07 27 B8 1D 30 
           59 CF 5D 90 20 17 42 24 EE 5D B0 D3 A5 7B 97 01 58 19 C2 D7 
           E6 C1 B6 C0 FE BA 4E D1 5B 14 47 A1 C1 F3 A8 6C 6E C4 57 B6 
           E6 6C BE 29 BB B3 D5 7A 85 2D 93 03 96 12 C7 9D E0 EF D8 20 
           94 5D 4D 09 08 FA 5C 79 2D C8 17 37 A7 96 0F D2 1D 51 6D 46 
           3E 86 05 30 69 9F 3C 8B 72 7A DE 37 D4 8E F5 35 01 80 6B 04 
           04 4A 8C 56 3D 06 7B 7B 73 0B 55 89 B8 7E 83 AA 56 1F C0 C8 
           C4 36 69 C5 7E 29 75 9E 96 F7 2E 55 74 7F 99 E4 B1 DD 50 C2 
           5F 43 C1 B6 BA 3B 95 67 CC 62 C2 54 31 3B D7 76 B5 55 EC 0E 
           6A 4B 03 89 DF D9 CB 21 82 0A 7C 74 54 7A F3 DC 79 

Extension: Basic Constraints (2.5.29.19)
Critical: 0


Fingerprints : 

SHA-256 Fingerprint: B0 5D B8 D0 8C 85 33 B2 5A B4 80 46 4C 45 D0 0C BB C1 98 30 
                     2F D6 9B 55 60 E6 29 AE 68 98 02 A2 
SHA-1 Fingerprint: E4 0B D3 DD 87 21 FB 56 E4 A9 7D 1D 57 1D 1B 43 67 B6 77 9F 
MD5 Fingerprint: F1 34 4F 9D 87 CB 3C D1 CF D6 0A 92 84 84 9D 40 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDwjCCAqqgAwIBAgIDAkHIMA0GCSqGSIb3DQEBCwUAMIGgMQswCQYDVQQGEwJVUzETMBEGA1UECBMKQ2FsaWZvcm5pYTESMBAGA1UEBxMJU3Vubnl2YWxlMREwDwYDVQQKEwhGb3J0aW5ldDEeMBwGA1UECxMVQ2VydGlmaWNhdGUgQXV0aG9yaXR5MRAwDgYDVQQDEwdzdXBwb3J0MSMwIQYJKoZIhvcNAQkBFhRzdXBwb3J0QGZvcnRpbmV0LmNvbTAeFw0xNTA3MTYwMDMzMTFaFw0zODAxMTkwMzE0MDdaMIGWMQswCQYDVQQGEwJVUzETMBEGA1UECAwKQ2FsaWZvcm5pYTESMBAGA1UEBwwJU3Vubnl2YWxlMREwDwYDVQQKDAhGb3J0aW5ldDESMBAGA1UECwwJRm9ydGlHYXRlMRIwEAYDVQQDDAlGb3J0aUdhdGUxIzAhBgkqhkiG9w0BCQEWFHN1cHBvcnRAZm9ydGluZXQuY29tMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAqOMgHDcpoZJGBj8ZvktsBQVABc0G2uzky1bY74NCcdnP+lm256dh12skQzEOOjkGDgjNWTMKJ51HDJity7e4mDwOg7zuCIIpPMx8H7YGxKATWldInlIvMENJDhjOA02nWA4bQfBc6+vdTHk5fks2QVwHmlah2UTMUs+PxbVn46iGPiBV2uU7okYs7y4zE1k0ni75SadjwG+mvUkLi+o9pBsP7bkAfEYA9IJAvmCUjRMuWcZzQ3RLvfochFmkyVSd8MkEZAbH4ZEhvEdUgoL85bmDU4x7i6qz0gdzvjD/ClI1WegYZbm6eujv4gsx6jVXLstzjgGEHn404YbzTl/CfQIDAQABow0wCzAJBgNVHRMEAjAAMA0GCSqGSIb3DQEBCwUAA4IBAQClHXJ+3vR1mwPYtM7hYqeDMxRNmEGxwrcZj5v+Ar4cg74yhNJJuztQsAWfxC6jPgeNzCHnEc5cZ6mD9yQv7lgpjWcp3iLbLQZb2gcnuB0wWc9dkCAXQiTuXbDTpXuXAVgZwtfmwbbA/rpO0VsUR6HB86hsbsRXtuZsvim7s9V6hS2TA5YSx53g79gglF1NCQj6XHktyBc3p5YP0h1RbUY+hgUwaZ88i3J63jfUjvU1AYBrBARKjFY9Bnt7cwtVibh+g6pWH8DIxDZpxX4pdZ6W9y5VdH+Z5LHdUMJfQ8G2ujuVZ8xiwlQxO9d2tVXsDmpLA4nf2cshggp8dFR689x5
-----END CERTIFICATE-----",,,,,None,,,,19/05/2008,03/02/2021,,,,Network Group
10881,,,None,10.11.12.123,tcp,22,SSH Protocol Versions Supported,A SSH server is running on the remote host.,"This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.",n/a,,"The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
",,,,,None,,,,06/03/2002,19/01/2021,,,,Network Group
11154,,,None,10.11.12.123,tcp,541,Unknown Service Detection: Banner Retrieval,There is an unknown service running on the remote host.,"Nessus was unable to identify a service on the remote host even though
it returned a banner of some type.",n/a,,"
If you know what this service is and think the banner could be used to
identify it, please send a description of the service along with the
following output to svc-signatures@nessus.org :

  Port   : 541
  Type   : spontaneous
  Banner : 
0x0000:  16 03 01 01 20 01 00 01 1C 03 03 12 10 79 38 ED    .... ........y8.
           0x0010:  9D 6B FA AC 3E CF 0D FD 0D 37 14 18 63 2F 45 83    .k..>....7..c/E.
           0x0020:  9F F7 15 0C D5 21 21 D2 CF C2 B7 00 00 9E C0 30    .....!!........0
           0x0030:  C0 2C C0 28 C0 24 C0 14 C0 0A 00 A5 00 A3 00 A1    .,.(.$..........
           0x0040:  00 9F 00 6B 00 6A 00 69 00 68 00 39 00 38 00 37    ...k.j.i.h.9.8.7
           0x0050:  00 36 00 88 00 87 00 86 00 85 C0 32 C0 2E C0 2A    .6.........2...*
           0x0060:  C0 26 C0 0F C0 05 00 9D 00 3D 00 35 00 84 C0 2F    .&.......=.5.../
           0x0070:  C0 2B C0 27 C0 23 C0 13 C0 09 00 A4 00 A2 00 A0    .+.'.#..........
           0x0080:  00 9E 00 67 00 40 00 3F 00 3E 00 33 00 32 00 31    ...g.@.?.>.3.2.1
           0x0090:  00 30 00 45 00 44 00 43 00 42 C0 31 C0 2D C0 29    .0.E.D.C.B.1.-.)
           0x00A0:  C0 25 C0 0E C0 04 00 9C 00 3C 00 2F 00 41 00 9A    .%.......<./.A..
           0x00B0:  00 99 00 98 00 97 00 96 C0 12 C0 08 00 16 00 13    ................
           0x00C0:  00 10 00 0D C0 0D C0 03 00 0A 00 FF 01 00 00 55    ...............U
           0x00D0:  00 0B 00 04 03 00 01 02 00 0A 00 1C 00 1A 00 17    ................
           0x00E0:  00 19 00 1C 00 1B 00 18 00 1A 00 16 00 0E 00 0D    ................
           0x00F0:  00 0B 00 0C 00 09 00 0A 00 23 00 00 00 0D 00 20    .........#..... 
           0x0100:  00 1E 06 01 06 02 06 03 05 01 05 02 05 03 04 01    ................
           0x0110:  04 02 04 03 03 01 03 02 03 03 02 01 02 02 02 03    ................
           0x0120:  00 0F 00 01 01                                     .....           
           
",,,,,None,,,,18/11/2002,24/07/2018,,,,Network Group
11219,,,None,10.11.12.123,tcp,22,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 22/tcp was found to be open,,,,,None,,,,04/02/2009,02/02/2022,,,,Network Group
11219,,,None,10.11.12.123,tcp,80,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 80/tcp was found to be open,,,,,None,,,,04/02/2009,02/02/2022,,,,Network Group
11219,,,None,10.11.12.123,tcp,443,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 443/tcp was found to be open,,,,,None,,,,04/02/2009,02/02/2022,,,,Network Group
11219,,,None,10.11.12.123,tcp,541,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 541/tcp was found to be open,,,,,None,,,,04/02/2009,02/02/2022,,,,Network Group
11219,,,None,10.11.12.123,tcp,2000,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 2000/tcp was found to be open,,,,,None,,,,04/02/2009,02/02/2022,,,,Network Group
