Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","10.1.0.10","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","10.1.0.10","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10267","","","None","10.1.0.10","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_6.0p1 Debian-4+deb7u7
SSH supported authentication : publickey,password
","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2020/09/22","","",""
"10287","","","None","10.1.0.10","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 172.16.0.101 to 10.1.0.10 : 
172.16.0.101
10.90.90.90
10.1.0.10

Hop Count: 2
","","","","","None","","","","1999/11/27","2020/08/20","","",""
"10386","","","None","10.1.0.10","tcp","8008","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was : 

    http://10.1.0.10:8008/4Xja1CT4lAHL.html
","","","","","None","","","","2000/04/28","2020/06/12","","",""
"10386","","","None","10.1.0.10","tcp","8010","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","The following title tag will be used :
Web Filter Block Override","","","","","None","","","","2000/04/28","2020/06/12","","",""
"10863","","","None","10.1.0.10","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: *.sac.or.th

Issuer Name: 

Country: BE
Organization: GlobalSign nv-sa
Common Name: AlphaSSL CA - SHA256 - G2

Serial Number: 79 95 A3 D5 6C 33 2D 46 08 84 F2 BF 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Oct 27 09:13:49 2021 GMT
Not Valid After: Nov 28 09:13:49 2022 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 D0 A2 83 5F 1F 10 A4 7F 00 12 D2 B8 99 FB 22 D4 7D B8 86 
            E0 55 E7 48 42 B0 6A ED 46 F4 E9 F7 DD 18 93 34 6D 68 53 1F 
            92 57 1D 07 58 2E 9A 5D CC 56 1E DD 0A 51 88 7D E1 A6 38 B5 
            34 19 C4 3F 1A 0A 27 80 1B 2E 31 07 40 8E 6B 81 1A C3 90 03 
            89 58 D1 60 ED C4 5C 87 AE F7 4A 07 BE D5 8F EF 0C 31 28 35 
            38 A5 17 C0 0A A4 34 C0 77 FE A1 BD 17 ED B7 78 42 EB 7C F8 
            27 5C 03 66 0C F2 4C 8B C7 3D C1 F7 7D 69 23 B4 23 FA 80 F7 
            88 DD BE 70 15 D5 8E A1 33 37 DC 96 71 A9 10 07 B3 D6 7D F0 
            76 50 64 D6 F9 FD 62 C1 66 B8 92 FB 4D E1 8B A3 75 72 71 C4 
            F2 F7 EE A8 69 10 80 A3 0F 16 26 E2 95 26 2A BF E1 9D 9C 05 
            7C 8D 4A D1 85 13 C5 97 32 7A 1B 27 84 0F F3 DE 49 01 0D 65 
            13 F0 24 5C 64 1F 80 ED 5D AB 47 16 93 BF 13 C7 40 85 42 01 
            0F 4A 4F E3 9E E1 18 91 09 5E F1 FE CD EA 18 41 73 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 81 88 38 3B D2 67 99 84 09 F2 BC 5D 2F 16 33 E9 36 AA E4 
           50 93 18 A3 B0 19 14 A6 2F 24 4D 7C 69 78 27 23 3F 9B 2C 4C 
           3F AD 27 53 4F A4 25 6A 0C 08 91 1B EA 44 4C E7 EC D0 F4 82 
           9A BA 08 B2 B8 79 50 A9 CD 9C 5E 83 A4 57 35 B8 28 F6 EC F9 
           23 A4 64 D2 8F 83 1D EC 31 25 FD 4D 3C ED 00 EF 54 72 66 F9 
           16 E6 8E E5 3D 26 9D 5B 48 CB 24 4B 50 6D A8 8D 7F 15 AF E1 
           CF 0F D0 F4 A8 74 3A 85 16 13 A0 EC C5 67 FE FA 60 65 E7 0B 
           3E 76 93 D7 E4 50 F3 45 11 30 D2 34 83 F7 F7 D1 6F A2 9D 0C 
           90 D1 35 79 8B EE 29 C9 5A D3 DB B4 23 3A D9 4D BF 4B 13 5A 
           F3 53 97 81 94 09 35 D6 37 E8 4C 90 B4 28 93 1B 83 FA 4A 9D 
           F4 D3 7C D3 87 5F D3 E3 74 2B 0D 34 CE 7A 4E DF F2 32 A9 92 
           A7 67 F2 FA 73 DE FD 22 4E 77 B5 E2 2F AC 35 B9 58 6B 25 60 
           B2 C5 00 7E 21 F9 B2 A6 50 CB 48 36 C6 71 BC 39 85 

Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Authority Information Access (1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Certificate Authority Issuers
URI: http://secure2.alphassl.com/cacert/gsalphasha2g2r1.crt
Method#2: Online Certificate Status Protocol
URI: http://ocsp2.globalsign.com/gsalphasha2g2


Extension: Policies (2.5.29.32)
Critical: 0
Policy ID #1: 1.3.6.1.4.1.4146.1.10.10
Qualifier ID #1: Certification Practice Statement (1.3.6.1.5.5.7.2.1)
CPS URI: https://www.globalsign.com/repository/
Policy ID #2: 2.23.140.1.2.1


Extension: Basic Constraints (2.5.29.19)
Critical: 0


Extension: CRL Distribution Points (2.5.29.31)
Critical: 0
URI: http://crl2.alphassl.com/gs/gsalphasha2g2.crl


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: *.sac.or.th
DNS: sac.or.th


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)
Purpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: F5 CD D5 3C 08 50 F9 6A 4F 3A B7 97 DA 56 83 E6 69 D2 68 F7 


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: A1 52 F9 AC A2 AC AC 56 C6 78 15 7C 74 0F 24 F6 2D 34 BE DD 


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 82 01 6A 01 68 00 75 00 6F 53 76 AC 31 F0 31 19 D8 99 00 
      A4 51 15 FF 77 15 1C 11 D9 02 C1 00 29 06 8D B2 08 9A 37 D9 
      13 00 00 01 7C C1 06 F4 CA 00 00 04 03 00 46 30 44 02 20 40 
      43 DD CD 8E 9E 8E BB 0C 8F 42 19 87 30 31 79 FB A7 DF BD F7 
      DB 1E B6 1A 7A 07 E6 FB AC 96 7E 02 20 79 EE BA 61 DA 08 16 
      F0 70 13 DB 13 4D 25 96 BF A9 8E 71 E8 B5 AE B5 6A 2C 87 A4 
      E2 84 F6 2B 27 00 77 00 29 79 BE F0 9E 39 39 21 F0 56 73 9F 
      63 A5 77 E5 BE 57 7D 9C 60 0A F8 F9 4D 5D 26 5C 25 5D C7 84 
      00 00 01 7C C1 06 F4 BC 00 00 04 03 00 48 30 46 02 21 00 C6 
      4B 92 BA 92 F9 53 CF 7F 5C FF AB 97 35 91 2A 76 47 B4 C0 34 
      A6 6D E1 B6 4B 61 87 98 5A EE DF 02 21 00 E0 B2 D7 77 3E 74 
      F5 3F 7C 6D B0 C2 35 7C 97 40 25 9A BA 69 D2 93 75 F0 3C B5 
      A4 F9 57 4F 9F 1B 00 76 00 51 A3 B0 F5 FD 01 79 9C 56 6D B8 
      37 78 8F 0C A4 7A CC 1B 27 CB F7 9E 88 42 9A 0D FE D4 8B 05 
      E5 00 00 01 7C C1 06 F4 EB 00 00 04 03 00 47 30 45 02 21 00 
      E0 26 72 74 0D 97 41 3F DF 86 55 22 95 DC 85 B4 2C 2D DA 5B 
      BE F8 16 C5 A7 A8 15 BE 47 97 15 22 02 20 33 C9 EB 9F 83 E3 
      D7 A4 E1 C1 FF 4B 8B 26 ED 7D 3C 68 33 B8 B5 AE EE C7 0C 5D 
      F2 8C DD 6D 2E E0 


Fingerprints : 

SHA-256 Fingerprint: 00 87 89 C4 87 B1 62 9B FB D8 69 E0 F9 CF 6C 89 13 FE 4F 17 
                     D7 2A 51 22 3A BA BB 8E 04 62 F1 F8 
SHA-1 Fingerprint: BB ED 31 30 B8 75 E4 55 3A 66 A8 C1 38 D0 3E 6D C9 3B 32 32 
MD5 Fingerprint: 67 95 7D A1 AC C1 8A 9D FD D3 81 78 38 D8 44 34 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIGMjCCBRqgAwIBAgIMeZWj1WwzLUYIhPK/MA0GCSqGSIb3DQEBCwUAMEwxCzAJBgNVBAYTAkJFMRkwFwYDVQQKExBHbG9iYWxTaWduIG52LXNhMSIwIAYDVQQDExlBbHBoYVNTTCBDQSAtIFNIQTI1NiAtIEcyMB4XDTIxMTAyNzA5MTM0OVoXDTIyMTEyODA5MTM0OVowFjEUMBIGA1UEAwwLKi5zYWMub3IudGgwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDQooNfHxCkfwAS0riZ+yLUfbiG4FXnSEKwau1G9On33RiTNG1oUx+SVx0HWC6aXcxWHt0KUYh94aY4tTQZxD8aCieAGy4xB0COa4Eaw5ADiVjRYO3EXIeu90oHvtWP7wwxKDU4pRfACqQ0wHf+ob0X7bd4Qut8+CdcA2YM8kyLxz3B931pI7Qj+oD3iN2+cBXVjqEzN9yWcakQB7PWffB2UGTW+f1iwWa4kvtN4YujdXJxxPL37qhpEICjDxYm4pUmKr/hnZwFfI1K0YUTxZcyehsnhA/z3kkBDWUT8CRcZB+A7V2rRxaTvxPHQIVCAQ9KT+Oe4RiRCV7x/s3qGEFzAgMBAAGjggNIMIIDRDAOBgNVHQ8BAf8EBAMCBaAwgYkGCCsGAQUFBwEBBH0wezBCBggrBgEFBQcwAoY2aHR0cDovL3NlY3VyZTIuYWxwaGFzc2wuY29tL2NhY2VydC9nc2FscGhhc2hhMmcycjEuY3J0MDUGCCsGAQUFBzABhilodHRwOi8vb2NzcDIuZ2xvYmFsc2lnbi5jb20vZ3NhbHBoYXNoYTJnMjBXBgNVHSAEUDBOMEIGCisGAQQBoDIBCgowNDAyBggrBgEFBQcCARYmaHR0cHM6Ly93d3cuZ2xvYmFsc2lnbi5jb20vcmVwb3NpdG9yeS8wCAYGZ4EMAQIBMAkGA1UdEwQCMAAwPgYDVR0fBDcwNTAzoDGgL4YtaHR0cDovL2NybDIuYWxwaGFzc2wuY29tL2dzL2dzYWxwaGFzaGEyZzIuY3JsMCEGA1UdEQQaMBiCCyouc2FjLm9yLnRogglzYWMub3IudGgwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMB8GA1UdIwQYMBaAFPXN1TwIUPlqTzq3l9pWg+Zp0mj3MB0GA1UdDgQWBBShUvmsoqysVsZ4FXx0DyT2LTS+3TCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHUAb1N2rDHwMRnYmQCkURX/dxUcEdkCwQApBo2yCJo32RMAAAF8wQb0ygAABAMARjBEAiBAQ93Njp6OuwyPQhmHMDF5+6ffvffbHrYaegfm+6yWfgIgee66YdoIFvBwE9sTTSWWv6mOcei1rrVqLIek4oT2KycAdwApeb7wnjk5IfBWc59jpXflvld9nGAK+PlNXSZcJV3HhAAAAXzBBvS8AAAEAwBIMEYCIQDGS5K6kvlTz39c/6uXNZEqdke0wDSmbeG2S2GHmFru3wIhAOCy13c+dPU/fG2wwjV8l0Almrpp0pN18Dy1pPlXT58bAHYAUaOw9f0BeZxWbbg3eI8MpHrMGyfL956IQpoN/tSLBeUAAAF8wQb06wAABAMARzBFAiEA4CZydA2XQT/fhlUildyFtCwt2lu++BbFp6gVvkeXFSICIDPJ65+D49ek4cH/S4sm7X08aDO4ta7uxwxd8ozdbS7gMA0GCSqGSIb3DQEBCwUAA4IBAQCBiDg70meZhAnyvF0vFjPpNqrkUJMYo7AZFKYvJE18aXgnIz+bLEw/rSdTT6QlagwIkRvqREzn7ND0gpq6CLK4eVCpzZxeg6RXNbgo9uz5I6Rk0o+DHewxJf1NPO0A71RyZvkW5o7lPSadW0jLJEtQbaiNfxWv4c8P0PSodDqFFhOg7MVn/vpgZecLPnaT1+RQ80URMNI0g/f30W+inQyQ0TV5i+4pyVrT27QjOtlNv0sTWvNTl4GUCTXWN+hMkLQokxuD+kqd9NN804df0+N0Kw00znpO3/IyqZKnZ/L6c979Ik53teIvrDW5WGslYLLFAH4h+bKmUMtINsZxvDmF
-----END CERTIFICATE-----","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10863","","","None","10.1.0.10","tcp","8010","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: 10.1.0.10

Issuer Name: 

Country: US
State/Province: California
Locality: Sunnyvale
Organization: Fortinet
Organization Unit: Certificate Authority
Common Name: FG200E4Q17910378
Email Address: support@fortinet.com

Serial Number: 40 61 09 4F 05 E4 E9 75 8A E8 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Sep 18 03:32:43 2017 GMT
Not Valid After: Jan 19 03:14:07 2038 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 E6 06 22 79 3D FD 17 30 36 4A 6F DB CE 8A 64 0A 28 A8 14 
            03 FF D4 F2 BF DF 1C 0C 63 83 43 1C 57 15 1F B7 C0 1C 4D 39 
            06 D1 5B C5 54 20 19 9F F8 8E B7 72 34 28 5B 30 BE 89 03 B5 
            E3 C5 ED 5B 7E 3C B0 A1 C7 7B 4E 45 99 56 3B 61 82 97 01 8D 
            52 16 63 26 3C 33 FD 2C A3 44 13 E3 83 02 5F 0D CC DB 36 8B 
            6B 34 5B 37 85 2B 70 B9 E2 C2 92 19 43 EF 7B 22 01 F7 08 8C 
            00 DD 40 E0 A5 90 74 55 C8 B7 54 F3 89 24 24 92 A2 C3 21 B3 
            BF 5C 87 E9 EE 1B 35 C3 96 32 DF 56 11 47 68 1B 36 29 A1 7D 
            E0 7D 66 B5 C0 27 91 AB E4 F0 2E 69 80 D0 86 F5 56 26 2E B1 
            4A 6A F0 2D EC 64 C6 CD A4 17 49 5E 4D AA 1A 97 A9 BE 0F F4 
            28 CF 61 50 A6 F4 2C C0 43 98 21 90 0A D9 88 36 26 72 01 23 
            4A 27 6C 7E 49 AF 21 A2 D2 38 5E B3 B2 03 EA F1 C6 0C 01 7B 
            74 4C 9B AD 8D B4 45 BD F8 E4 47 9A E3 AE 42 94 2B 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 13 58 DA 7E 38 BA A0 CA CB 3F DD 1D 63 F2 62 C6 CC E0 54 
           96 7A 6B CC 29 A8 42 25 52 91 E8 1A 91 C4 CC A2 88 DF 67 D4 
           A4 59 FB B5 D1 E1 84 EF 85 3F FC C8 1C 5F 09 DE 48 47 32 E0 
           C2 95 F2 F0 F5 14 73 4B 05 E1 9E AC 93 A5 DE DB 06 A3 69 AA 
           95 3E A3 FF 17 93 A4 6C 82 F8 A2 36 92 E9 D8 13 48 DE C1 47 
           28 FB E2 4C 8D 46 E2 02 A7 98 10 A3 A8 C3 38 5D E8 43 E2 CC 
           27 E1 4F 24 E5 A4 1C 60 02 C9 EA 46 59 B7 56 1C 97 EC 65 71 
           52 28 43 91 BA 38 B8 2A 25 3C A7 89 30 3D 6C 7F EA 7F C8 7F 
           C7 D9 20 62 7B FC 1B AB FE 1D D7 A9 1C 4F A2 36 02 3D 06 8E 
           8C 38 1F E7 1F 65 34 3B 45 BA D0 4E E7 6E 1E 26 70 2C BE FC 
           5F B8 38 5D 46 40 73 10 6C B3 B9 62 45 4E F0 7D E5 4C 18 67 
           71 72 F7 72 19 78 BE A7 32 32 CC 4F CB 47 FF A3 8C 55 5B 0C 
           9A CF 8D E2 57 AF 08 3C 9A F0 7A 1F 1E AE B7 63 8E 

Extension: Basic Constraints (2.5.29.19)
Critical: 0


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: 10.1.0.10


Fingerprints : 

SHA-256 Fingerprint: 0F 90 CF 8E 27 B3 CD E4 EC E0 E1 8C D0 7C AC 41 73 5B 04 4E 
                     8A BE C9 1F 86 8D 67 B8 23 C8 2A 8A 
SHA-1 Fingerprint: FE 12 7B FD 19 19 29 65 81 BC 94 6D B9 73 B9 12 D2 BE 7B 33 
MD5 Fingerprint: E3 0C CC 6F 8C 36 7C A8 5E 7F 42 C5 DB 6E 8E 39 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDZTCCAk2gAwIBAgIKQGEJTwXk6XWK6DANBgkqhkiG9w0BAQsFADCBqTELMAkGA1UEBhMCVVMxEzARBgNVBAgMCkNhbGlmb3JuaWExEjAQBgNVBAcMCVN1bm55dmFsZTERMA8GA1UECgwIRm9ydGluZXQxHjAcBgNVBAsMFUNlcnRpZmljYXRlIEF1dGhvcml0eTEZMBcGA1UEAwwQRkcyMDBFNFExNzkxMDM3ODEjMCEGCSqGSIb3DQEJARYUc3VwcG9ydEBmb3J0aW5ldC5jb20wHhcNMTcwOTE4MDMzMjQzWhcNMzgwMTE5MDMxNDA3WjAUMRIwEAYDVQQDDAkxMC4xLjAuMTAwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDmBiJ5Pf0XMDZKb9vOimQKKKgUA//U8r/fHAxjg0McVxUft8AcTTkG0VvFVCAZn/iOt3I0KFswvokDtePF7Vt+PLChx3tORZlWO2GClwGNUhZjJjwz/SyjRBPjgwJfDczbNotrNFs3hStwueLCkhlD73siAfcIjADdQOClkHRVyLdU84kkJJKiwyGzv1yH6e4bNcOWMt9WEUdoGzYpoX3gfWa1wCeRq+TwLmmA0Ib1ViYusUpq8C3sZMbNpBdJXk2qGpepvg/0KM9hUKb0LMBDmCGQCtmINiZyASNKJ2x+Sa8hotI4XrOyA+rxxgwBe3RMm62NtEW9+ORHmuOuQpQrAgMBAAGjIzAhMAkGA1UdEwQCMAAwFAYDVR0RBA0wC4IJMTAuMS4wLjEwMA0GCSqGSIb3DQEBCwUAA4IBAQATWNp+OLqgyss/3R1j8mLGzOBUlnprzCmoQiVSkegakcTMoojfZ9SkWfu10eGE74U//MgcXwneSEcy4MKV8vD1FHNLBeGerJOl3tsGo2mqlT6j/xeTpGyC+KI2kunYE0jewUco++JMjUbiAqeYEKOowzhd6EPizCfhTyTlpBxgAsnqRlm3VhyX7GVxUihDkbo4uColPKeJMD1sf+p/yH/H2SBie/wbq/4d16kcT6I2Aj0Gjow4H+cfZTQ7RbrQTuduHiZwLL78X7g4XUZAcxBss7liRU7wfeVMGGdxcvdyGXi+pzIyzE/LR/+jjFVbDJrPjeJXrwg8mvB6Hx6ut2OO
-----END CERTIFICATE-----","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10881","","","None","10.1.0.10","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","","","","None","","","","2002/03/06","2021/01/19","","",""
"11219","","","None","10.1.0.10","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
