IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
172.28.137.112,,22,tcp,7.5,High,"VendorFix","OpenSSH Denial of Service And User Enumeration Vulnerabilities (Windows)","openssh is prone to denial of service and user enumeration vulnerabilities.","Installed version: 7.2
Fixed version:     7.3
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.809121,"CVE-2016-6515,CVE-2016-6210",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,8d995d2d-d8bf-4b2c-9ef9-8a11d3e4fb17,"Successfully exploiting this issue allows
  remote attackers to cause a denial of service (crypt CPU consumption) and
  to enumerate users by leveraging the timing difference between responses
  when a large password is provided.","Upgrade to OpenSSH version 7.3 or later.","OpenSSH versions before 7.3 on Windows","Multiple flaws exist due to:

  - The auth_password function in 'auth-passwd.c' script does not limit password
    lengths for password authentication.

  - The sshd in OpenSSH, when SHA256 or SHA512 are used for user password hashing
    uses BLOWFISH hashing on a static password when the username does not exist
    and it takes much longer to calculate SHA256/SHA512 hash than BLOWFISH hash.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH Denial of Service And User Enumeration Vulnerabilities (Windows)
(OID: 1.3.6.1.4.1.25623.1.0.809121)
Version used: 2021-10-15T11:13:32Z
","Product: cpe:/a:openbsd:openssh:7.2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","92212","DFN-CERT-2019-1408,DFN-CERT-2018-1828,DFN-CERT-2018-1070,DFN-CERT-2018-0046,DFN-CERT-2017-2320,DFN-CERT-2017-2208,DFN-CERT-2017-1831,DFN-CERT-2017-1407,DFN-CERT-2017-1340,DFN-CERT-2017-0060,DFN-CERT-2016-1943,DFN-CERT-2016-1729,DFN-CERT-2016-1576,DFN-CERT-2016-1574,DFN-CERT-2016-1331,DFN-CERT-2016-1243,DFN-CERT-2016-1149,CB-K18/0041,CB-K17/2219,CB-K17/2112,CB-K17/1753,CB-K17/1349,CB-K17/1292,CB-K17/0055,CB-K16/1837,CB-K16/1629,CB-K16/1487,CB-K16/1485,CB-K16/1252,CB-K16/1221,CB-K16/1082",""
172.28.137.112,,22,tcp,7.3,High,"VendorFix","OpenSSH Multiple Vulnerabilities Jan17 (Windows)","openssh is prone to multiple vulnerabilities.","Installed version: 7.2
Fixed version:     7.4
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.810325,"CVE-2016-10009,CVE-2016-10010,CVE-2016-10011,CVE-2016-10012,CVE-2016-10708",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,2353cbd2-c448-4607-9aa0-782299589681,"Successfully exploiting this issue allows
  local users to obtain sensitive private-key information, to gain privileges,
  conduct a senial-of-service condition and allows remote attackers to execute
  arbitrary local PKCS#11 modules.","Upgrade to OpenSSH version 7.4 or later.","OpenSSH versions before 7.4 on Windows.","Multiple flaws exist due to:

  - An 'authfile.c' script does not properly consider the effects of realloc
    on buffer contents.

  - The shared memory manager (associated with pre-authentication compression)
    does not ensure that a bounds check is enforced by all compilers.

  - The sshd in OpenSSH creates forwarded Unix-domain sockets as root, when
    privilege separation is not used.

  - An untrusted search path vulnerability in ssh-agent.c in ssh-agent.

  - NULL pointer dereference error due to an out-of-sequence NEWKEYS message.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH Multiple Vulnerabilities Jan17 (Windows)
(OID: 1.3.6.1.4.1.25623.1.0.810325)
Version used: 2021-10-12T09:28:32Z
","Product: cpe:/a:openbsd:openssh:7.2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","94968,94972,94977,94975","DFN-CERT-2021-0776,DFN-CERT-2019-1408,DFN-CERT-2018-2259,DFN-CERT-2018-2191,DFN-CERT-2018-2068,DFN-CERT-2018-1828,DFN-CERT-2018-1568,DFN-CERT-2018-1432,DFN-CERT-2018-1112,DFN-CERT-2018-1070,DFN-CERT-2018-1068,DFN-CERT-2018-0150,DFN-CERT-2018-0046,DFN-CERT-2017-2320,DFN-CERT-2017-2208,DFN-CERT-2017-1340,DFN-CERT-2017-1096,DFN-CERT-2017-0532,DFN-CERT-2017-0386,DFN-CERT-2017-0130,DFN-CERT-2017-0042,DFN-CERT-2016-2099,CB-K18/0919,CB-K18/0591,CB-K18/0137,CB-K18/0041,CB-K17/2219,CB-K17/2112,CB-K17/1292,CB-K17/1061,CB-K17/0527,CB-K17/0377,CB-K17/0127,CB-K17/0041,CB-K16/1991",""
172.28.137.112,,7630,tcp,6.4,Medium,"Mitigation","SSL/TLS: Missing `secure` Cookie Attribute","a server with SSL/TLS is prone to an information disclosure vulnerability.","The cookies:

Set-Cookie: locale=en_US; path=/
Set-Cookie: hawk=V2dEZCtBODJ0eHhPM2svTUwvVUFiZnlTbmM2aTBLV2w1TU03YXJyQ2dSZk9lQzhjQy9hZ0UxZHdKNFJ1VlFwc3FlT0xOWkFrV1V3Wi91OStSc0lkNmhFTmxRTktiUWZqQ2dJeUxwaEhET2Z2U1laKzRtQTl6SDlLeVl0UmZzb1QtLVV0a2FtZ0xnVTFPdFFWcWx3NHBJYkE9PQ%3D%3D--dc854531e0bb21a4bfab8fb4b853b0d5c57b8f06; path=/; expires=Thu, 14 Apr 2022 15:58:25 -0000; HttpOnly

are missing the ""secure"" attribute.
",1.3.6.1.4.1.25623.1.0.902661,"",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,653cf61f-3532-476b-ab79-dc39552c8eb3,"","Set the 'secure' attribute for any cookies that are sent over a SSL/TLS connection.","Server with SSL/TLS.","The flaw is due to cookie is not using 'secure' attribute, which
  allows cookie to be passed to the server by the client over non-secure channels (http) and allows attacker
  to conduct session hijacking attacks.","
Details:
SSL/TLS: Missing `secure` Cookie Attribute
(OID: 1.3.6.1.4.1.25623.1.0.902661)
Version used: 2022-02-15T13:40:32Z
","","","",""
172.28.137.112,,22,tcp,5.3,Medium,"VendorFix","OpenSSH < 7.8 User Enumeration Vulnerability - Windows","OpenSSH is prone to a user enumeration vulnerability.","Installed version: 7.2
Fixed version:     7.8
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.813863,"CVE-2018-15473",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,e5228438-f053-471c-8c3b-0a32acb8c6de,"Successfully exploitation will allow remote attacker to test
  whether a certain user exists or not (username enumeration) on a target OpenSSH server.","Update to version 7.8 or later.","OpenSSH versions 7.7 and prior.","The flaw is due to not delaying bailout for an invalid
  authenticating user until after the packet containing the request has been fully parsed, related
  to auth2-gss.c, auth2-hostbased.c, and auth2-pubkey.c","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH < 7.8 User Enumeration Vulnerability - Windows
(OID: 1.3.6.1.4.1.25623.1.0.813863)
Version used: 2021-10-11T09:46:29Z
","Product: cpe:/a:openbsd:openssh:7.2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2021-2178,DFN-CERT-2020-2189,DFN-CERT-2020-0228,DFN-CERT-2019-2046,DFN-CERT-2019-0857,DFN-CERT-2019-0362,DFN-CERT-2018-2293,DFN-CERT-2018-2259,DFN-CERT-2018-2191,DFN-CERT-2018-1806,DFN-CERT-2018-1696,CB-K20/0041,CB-K18/1031,CB-K18/0873",""
172.28.137.112,,22,tcp,5.3,Medium,"VendorFix","OpenSSH sftp-server Security Bypass Vulnerability (Windows)","openssh is prone to a security bypass vulnerability.","Installed version: 7.2
Fixed version:     7.6
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.812050,"CVE-2017-15906",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,d716e09f-d9fe-4e62-b9fa-d6da82345583,"Successfully exploiting this issue allows
  local users to bypass certain security restrictions and perform unauthorized
  actions. This may lead to further attacks.","Upgrade to OpenSSH version 7.6 or later.","OpenSSH versions before 7.6 on Windows","The flaw exists in the 'process_open' function
  in sftp-server.c script which does not properly prevent write operations in
  readonly mode.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH 'sftp-server' Security Bypass Vulnerability (Windows)
(OID: 1.3.6.1.4.1.25623.1.0.812050)
Version used: 2021-10-12T09:28:32Z
","Product: cpe:/a:openbsd:openssh:7.2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","101552","DFN-CERT-2019-0362,DFN-CERT-2018-2554,DFN-CERT-2018-2191,DFN-CERT-2018-2068,DFN-CERT-2018-1828,DFN-CERT-2018-1568,DFN-CERT-2018-0150,DFN-CERT-2017-2217,DFN-CERT-2017-2100,DFN-CERT-2017-2093,CB-K20/0041,CB-K18/0137,CB-K17/2126,CB-K17/2014,CB-K17/2002",""
172.28.137.112,,22,tcp,5.3,Medium,"Mitigation","Weak Host Key Algorithm(s) (SSH)","The remote SSH server is configured to allow / support weak host
  key algorithm(s).","The remote SSH server supports the following weak host key algorithm(s):

host key algorithm | Description
-----------------------------------------------------------------------------------------
ssh-dss            | Digital Signature Algorithm (DSA) / Digital Signature Standard (DSS)
",1.3.6.1.4.1.25623.1.0.117687,"",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,5a577b2d-5a10-424a-a789-41cbf4b49766,"","Disable the reported weak host key algorithm(s).","","","Checks the supported host key algorithms of the remote SSH
  server.

  Currently weak host key algorithms are defined as the following:

  - ssh-dss: Digital Signature Algorithm (DSA) / Digital Signature Standard (DSS)
Details:
Weak Host Key Algorithm(s) (SSH)
(OID: 1.3.6.1.4.1.25623.1.0.117687)
Version used: 2021-11-24T06:31:19Z
","","","",""
172.28.137.112,,22,tcp,5.3,Medium,"WillNotFix","OpenSSH auth2-gss.c User Enumeration Vulnerability - Windows","OpenSSH is prone to a user enumeration vulnerability.","Installed version: 7.2
Fixed version:     None
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.813887,"CVE-2018-15919",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,82561920-6416-4636-bd53-82593b81d184,"Successfully exploitation will allow a remote attacker to harvest
  valid user accounts, which may aid in brute-force attacks.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","OpenSSH version 5.9 through 7.8.","The flaw exists in the 'auth-gss2.c' source code file of the
  affected software and is due to insufficient validation of an authentication request packet when
  the Guide Star Server II (GSS2) component is used on an affected system.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH 'auth2-gss.c' User Enumeration Vulnerability - Windows
(OID: 1.3.6.1.4.1.25623.1.0.813887)
Version used: 2021-05-28T07:06:21Z
","Product: cpe:/a:openbsd:openssh:7.2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2018-2293,DFN-CERT-2018-2191,CB-K18/0885",""
172.28.137.112,,7630,tcp,5.0,Medium,"VendorFix","SSL/TLS: Renegotiation DoS Vulnerability (CVE-2011-1473, CVE-2011-5094)","The remote SSL/TLS service is prone to a denial of service (DoS)
  vulnerability.","The following indicates that the remote SSL/TLS service is affected:

Protocol Version | Successful re-done SSL/TLS handshakes (Renegotiation) over an existing / already established SSL/TLS connection
----------------------------------------------------------------------------------------------------------------------------------
TLSv1.0          | 10
TLSv1.1          | 10
TLSv1.2          | 10
",1.3.6.1.4.1.25623.1.0.117761,"CVE-2011-1473,CVE-2011-5094",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,abc3d0b5-da7f-4145-a680-c1ebf5bf275a,"The flaw might make it easier for remote attackers to cause a
  DoS (CPU consumption) by performing many renegotiations within a single connection.","Users should contact their vendors for specific patch information.

  A general solution is to remove/disable renegotiation capabilities altogether from/in the affected
  SSL/TLS service.","Every SSL/TLS service which does not properly restrict
  client-initiated renegotiation.","The flaw exists because the remote SSL/TLS service does not
  properly restrict client-initiated renegotiation within the SSL and TLS protocols.

  Note: The referenced CVEs are affecting OpenSSL and Mozilla Network Security Services (NSS) but
  both are in a DISPUTED state with the following rationale:

  > It can also be argued that it is the responsibility of server deployments, not a security
  library, to prevent or limit renegotiation when it is inappropriate within a specific environment.

  Both CVEs are still kept in this VT as a reference to the origin of this flaw.","Checks if the remote service allows to re-do the same SSL/TLS
  handshake (Renegotiation) over an existing / already established SSL/TLS connection.
Details:
SSL/TLS: Renegotiation DoS Vulnerability (CVE-2011-1473, CVE-2011-5094)
(OID: 1.3.6.1.4.1.25623.1.0.117761)
Version used: 2021-11-15T10:28:20Z
","","","DFN-CERT-2017-1013,DFN-CERT-2017-1012,DFN-CERT-2014-0809,DFN-CERT-2013-1928,DFN-CERT-2012-1112,CB-K17/0980,CB-K17/0979,CB-K14/0772,CB-K13/0915,CB-K13/0462",""
172.28.136.111,,135,tcp,5.0,Medium,"Mitigation","DCE/RPC and MSRPC Services Enumeration Reporting","Distributed Computing Environment / Remote Procedure Calls (DCE/RPC) or MSRPC services running
  on the remote host can be enumerated by connecting on port 135 and doing the appropriate queries.","Here is the list of DCE/RPC or MSRPC services running on this host via the TCP protocol:

Port: 11731/tcp

     UUID: d107c6e0-fc35-49ba-ba03-3e192de6797d, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[11731]
     Annotation: Veeam Deployer

     UUID: d1c2c07a-d989-48cc-a423-b73ecd518d40, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[11731]
     Annotation: Veeam RPC Invoker

Port: 49152/tcp

     UUID: d95afe70-a6d5-4259-822e-2c84da1ddb0d, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49152]

Port: 49153/tcp

     UUID: 30adc50c-5cbc-46ce-9a0e-91914789e23c, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49153]
     Annotation: NRP server endpoint

     UUID: 3c4728c5-f0ab-448b-bda1-6ce01eb0a6d5, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49153]
     Annotation: DHCP Client LRPC Endpoint

     UUID: 3c4728c5-f0ab-448b-bda1-6ce01eb0a6d6, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49153]
     Annotation: DHCPv6 Client LRPC Endpoint

     UUID: abfb6ca3-0c5e-4734-9285-0aee72fe8d1c, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49153]
     Annotation: Wcm Service

     UUID: f6beaff7-1e19-4fbb-9f8f-b89e2018337c, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49153]
     Annotation: Event log TCPIP

Port: 49154/tcp

     UUID: 1a0d010f-1c33-432c-b0f5-8cf4e8053099, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: IdSegSrv service

     UUID: 201ef99a-7fa0-444c-9399-19ba84f12a1a, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: AppInfo

     UUID: 2e6035b2-e8f1-41a7-a044-656b439c4c34, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: Proxy Manager provider server endpoint

     UUID: 30b044a5-a225-43f0-b3a4-e060df91f9c1, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]

     UUID: 3a9ef155-691d-4449-8d05-09ad57031823, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]

     UUID: 552d076a-cb29-4e44-8b6a-d15e59e2c0af, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: IP Transition Configuration endpoint

     UUID: 58e604e8-9adb-4d2e-a464-3b0683fb1480, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: AppInfo

     UUID: 5f54ce7d-5b79-4175-8584-cb65313a0e98, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: AppInfo

     UUID: 86d35949-83c9-4044-b424-db363231fd0c, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]

     UUID: 98716d03-89ac-44c7-bb8c-285824e51c4a, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: XactSrv service

     UUID: a398e520-d59a-4bdd-aa7a-3c1e0303a511, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: IKE/Authip API

     UUID: c36be077-e14b-4fe9-8abc-e856ef4f048b, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: Proxy Manager client server endpoint

     UUID: c49a5a70-8a7f-4e70-ba16-1e8f1f193ef1, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: Adh APIs

     UUID: c9ac6db5-82b7-4e55-ae8a-e464ed7b4277, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: Impl friendly name

     UUID: fd7a0523-dc70-43dd-9b2e-9c5ed48225b1, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49154]
     Annotation: AppInfo

Port: 49155/tcp

     UUID: 0b1c2170-5732-4e0e-8cd3-d9b16f3b84d7, version 0
     Endpoint: ncacn_ip_tcp:172.28.136.111[49155]
     Annotation: RemoteAccessCheck

     UUID: 12345778-1234-abcd-ef00-0123456789ac, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49155]
     Named pipe : lsass
     Win32 service or process : lsass.exe
     Description : SAM access

     UUID: b25a52bf-e5dd-4f4a-aea6-8ca7272a0e86, version 2
     Endpoint: ncacn_ip_tcp:172.28.136.111[49155]
     Annotation: KeyIso

Port: 49167/tcp

     UUID: 0b6edbfa-4a24-4fc6-8a23-942b1eca65d1, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49167]

     UUID: 12345678-1234-abcd-ef00-0123456789ab, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49167]
     Named pipe : spoolss
     Win32 service or process : spoolsv.exe
     Description : Spooler service

     UUID: 4a452661-8290-4b36-8fbe-7f4093a94978, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49167]

     UUID: 76f03f96-cdfd-44fc-a22c-64950a001209, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49167]

     UUID: ae33069b-a2a8-46ee-a235-ddfd339be281, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49167]

Port: 49178/tcp

     UUID: 12345778-1234-abcd-ef00-0123456789ac, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49178]
     Named pipe : lsass
     Win32 service or process : lsass.exe
     Description : SAM access

     UUID: b25a52bf-e5dd-4f4a-aea6-8ca7272a0e86, version 2
     Endpoint: ncacn_ip_tcp:172.28.136.111[49178]
     Annotation: KeyIso

Port: 49235/tcp

     UUID: b97db8b2-4c63-11cf-bff6-08002be23f2f, version 3
     Endpoint: ncacn_ip_tcp:172.28.136.111[49235]
     Annotation: Microsoft Cluster Server API

Port: 49355/tcp

     UUID: 367abb81-9844-35f1-ad32-98f038001003, version 2
     Endpoint: ncacn_ip_tcp:172.28.136.111[49355]

Port: 49361/tcp

     UUID: 6b5bdd1e-528c-422c-af8c-a4079be4fe48, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49361]
     Annotation: Remote Fw APIs

Port: 49363/tcp

     UUID: 906b0ce0-c70b-1067-b317-00dd010662da, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[49363]

Port: 54728/tcp

     UUID: a2484e1a-a313-4ea2-8fe9-8a873ea275ba, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[54728]
     Annotation: Witness Provider RPC Server

     UUID: ccd8c074-d0e5-4a40-92b4-d074faa6ba28, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[54728]
     Annotation: Witness RPC Server

Port: 6160/tcp

     UUID: d107c6e0-fc35-49ba-ba03-3e192de6797d, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[6160]
     Annotation: Veeam Deployer

     UUID: d1c2c07a-d989-48cc-a423-b73ecd518d40, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[6160]
     Annotation: Veeam RPC Invoker

Port: 6183/tcp

     UUID: d107c6e0-fc35-49ba-ba03-3e192de6797d, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[6183]
     Annotation: Veeam Deployer

     UUID: d1c2c07a-d989-48cc-a423-b73ecd518d40, version 1
     Endpoint: ncacn_ip_tcp:172.28.136.111[6183]
     Annotation: Veeam Invoker

Note: DCE/RPC or MSRPC services running on this host locally were identified. Reporting this list is not enabled by default due to the possible large size of this list. See the script preferences to enable this reporting.
",1.3.6.1.4.1.25623.1.0.10736,"",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,fb4a0c65-e5eb-4b89-ab69-5fb7e7f05e40,"An attacker may use this fact to gain more knowledge
  about the remote host.","Filter incoming traffic to this ports.","","","
Details:
DCE/RPC and MSRPC Services Enumeration Reporting
(OID: 1.3.6.1.4.1.25623.1.0.10736)
Version used: 2017-06-13T07:06:12Z
","","","",""
172.28.137.112,,7630,tcp,5.0,Medium,"Mitigation","Missing `httpOnly` Cookie Attribute","The application is missing the 'httpOnly' cookie attribute","The cookies:

Set-Cookie: locale=en_US; path=/

are missing the ""httpOnly"" attribute.
",1.3.6.1.4.1.25623.1.0.105925,"",c6314a78-3a2b-4c1f-8c37-ea17a11600e2,"SIPH Phase3 scan",2022-04-04T15:54:14Z,40f06b27-3c70-46a4-9a33-7df5d3999e2b,"","Set the 'httpOnly' attribute for any session cookie.","Application with session handling in cookies.","The flaw is due to a cookie is not using the 'httpOnly' attribute. This
  allows a cookie to be accessed by JavaScript which could lead to session hijacking attacks.","Check all cookies sent by the application for a missing 'httpOnly' attribute
Details:
Missing `httpOnly` Cookie Attribute
(OID: 1.3.6.1.4.1.25623.1.0.105925)
Version used: 2020-08-24T15:18:35Z
","","","",""
