IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
172.28.130.190,,443,tcp,9.8,High,VendorFix,Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows),Apache Tomcat is prone to multiple vulnerabilities.,"Installed version: 7.0.
Fixed version:     7.0.100
Installation
path / port:       443/tcp
",1.3.6.1.4.1.25623.1.0.143550,"CVE-2020-1935,CVE-2020-1938",792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,80889f50-a49b-4c65-9ca9-5f76f63d13a1,,"Update to version 7.0.100, 8.5.51, 9.0.31 or later.","Apache Tomcat 7.0.0 to 7.0.99, 8.5.0 to 8.5.50 and 9.0.0.M1 to 9.0.30.","Apache Tomcat is prone to multiple vulnerabilities:
  - HTTP request smuggling vulnerability (CVE-2020-1935)
  - AJP Request Injection and potential Remote Code Execution dubbed 'Ghostcat' (CVE-2020-1938)","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows)
(OID: 1.3.6.1.4.1.25623.1.0.143550)
Version used: 2021-07-22T02:00:50Z
",,,"DFN-CERT-2021-1736,DFN-CERT-2021-0575,DFN-CERT-2020-2482,DFN-CERT-2020-1707,DFN-CERT-2020-1706,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0165,CB-K20/0154",
172.28.130.190,,8444,tcp,9.8,High,VendorFix,Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows),Apache Tomcat is prone to multiple vulnerabilities.,"Installed version: 8.5.31
Fixed version:     8.5.51
Installation
path / port:       8444/tcp
",1.3.6.1.4.1.25623.1.0.143550,"CVE-2020-1935,CVE-2020-1938",792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,f2a33f6e-e9de-4f16-a8c5-ee8d2c6c749d,,"Update to version 7.0.100, 8.5.51, 9.0.31 or later.","Apache Tomcat 7.0.0 to 7.0.99, 8.5.0 to 8.5.50 and 9.0.0.M1 to 9.0.30.","Apache Tomcat is prone to multiple vulnerabilities:
  - HTTP request smuggling vulnerability (CVE-2020-1935)
  - AJP Request Injection and potential Remote Code Execution dubbed 'Ghostcat' (CVE-2020-1938)","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows)
(OID: 1.3.6.1.4.1.25623.1.0.143550)
Version used: 2021-07-22T02:00:50Z
",,,"DFN-CERT-2021-1736,DFN-CERT-2021-0575,DFN-CERT-2020-2482,DFN-CERT-2020-1707,DFN-CERT-2020-1706,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0165,CB-K20/0154",
172.28.130.190,,8080,tcp,9.8,High,VendorFix,Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows),Apache Tomcat is prone to multiple vulnerabilities.,"Installed version: 7.0.
Fixed version:     7.0.100
Installation
path / port:       8080/tcp
",1.3.6.1.4.1.25623.1.0.143550,"CVE-2020-1935,CVE-2020-1938",792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,f2f9c9e1-4cdb-4799-b0aa-ab095826493b,,"Update to version 7.0.100, 8.5.51, 9.0.31 or later.","Apache Tomcat 7.0.0 to 7.0.99, 8.5.0 to 8.5.50 and 9.0.0.M1 to 9.0.30.","Apache Tomcat is prone to multiple vulnerabilities:
  - HTTP request smuggling vulnerability (CVE-2020-1935)
  - AJP Request Injection and potential Remote Code Execution dubbed 'Ghostcat' (CVE-2020-1938)","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows)
(OID: 1.3.6.1.4.1.25623.1.0.143550)
Version used: 2021-07-22T02:00:50Z
",,,"DFN-CERT-2021-1736,DFN-CERT-2021-0575,DFN-CERT-2020-2482,DFN-CERT-2020-1707,DFN-CERT-2020-1706,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0165,CB-K20/0154",
172.28.130.128,,2021,tcp,9.8,High,VendorFix,"PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Windows",PHP released new versions which include a security fix.,"Installed version: 7.4.15
Fixed version:     7.4.28
Installation
path / port:       2021/tcp
",1.3.6.1.4.1.25623.1.0.147658,CVE-2021-21708,792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,005c3e18-e6d6-4683-bffb-d9f8d246a55a,,"Update to version 7.4.28, 8.0.16, 8.1.3 or later.","PHP prior to version 7.4.28, 8.0.x through 8.0.15 and 8.1.x
  through 8.1.2.",Fix #81708: UAF due to php_filter_float() failing for ints.,"Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Win...
(OID: 1.3.6.1.4.1.25623.1.0.147658)
Version used: 2022-03-09T03:03:43Z
","Product: cpe:/a:php:php:7.4.15
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
",,"DFN-CERT-2022-0557,DFN-CERT-2022-0407,DFN-CERT-2022-0365,CB-K22/0201",
172.28.130.190,,8443,tcp,9.8,High,VendorFix,Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows),Apache Tomcat is prone to multiple vulnerabilities.,"Installed version: 7.0.
Fixed version:     7.0.100
Installation
path / port:       8443/tcp
",1.3.6.1.4.1.25623.1.0.143550,"CVE-2020-1935,CVE-2020-1938",792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,0096a016-b31a-4f2d-bbba-0b935736413d,,"Update to version 7.0.100, 8.5.51, 9.0.31 or later.","Apache Tomcat 7.0.0 to 7.0.99, 8.5.0 to 8.5.50 and 9.0.0.M1 to 9.0.30.","Apache Tomcat is prone to multiple vulnerabilities:
  - HTTP request smuggling vulnerability (CVE-2020-1935)
  - AJP Request Injection and potential Remote Code Execution dubbed 'Ghostcat' (CVE-2020-1938)","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows)
(OID: 1.3.6.1.4.1.25623.1.0.143550)
Version used: 2021-07-22T02:00:50Z
",,,"DFN-CERT-2021-1736,DFN-CERT-2021-0575,DFN-CERT-2020-2482,DFN-CERT-2020-1707,DFN-CERT-2020-1706,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0165,CB-K20/0154",
172.28.130.190,,8081,tcp,9.8,High,VendorFix,Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows),Apache Tomcat is prone to multiple vulnerabilities.,"Installed version: 8.5.31
Fixed version:     8.5.51
Installation
path / port:       8081/tcp
",1.3.6.1.4.1.25623.1.0.143550,"CVE-2020-1935,CVE-2020-1938",792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,369d5fe3-1221-4ea5-879b-e812a95cee9b,,"Update to version 7.0.100, 8.5.51, 9.0.31 or later.","Apache Tomcat 7.0.0 to 7.0.99, 8.5.0 to 8.5.50 and 9.0.0.M1 to 9.0.30.","Apache Tomcat is prone to multiple vulnerabilities:
  - HTTP request smuggling vulnerability (CVE-2020-1935)
  - AJP Request Injection and potential Remote Code Execution dubbed 'Ghostcat' (CVE-2020-1938)","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat Multiple Vulnerabilities - Feb20 (Windows)
(OID: 1.3.6.1.4.1.25623.1.0.143550)
Version used: 2021-07-22T02:00:50Z
",,,"DFN-CERT-2021-1736,DFN-CERT-2021-0575,DFN-CERT-2020-2482,DFN-CERT-2020-1707,DFN-CERT-2020-1706,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0165,CB-K20/0154",
172.28.130.190,,8009,tcp,9.8,High,VendorFix,Apache Tomcat AJP RCE Vulnerability (Ghostcat),"Apache Tomcat is prone to a remote code execution vulnerability
  (dubbed 'Ghostcat') in the AJP connector.","It was possible to read the file ""/WEB-INF/web.xml"" through the AJP connector.
Result:
AB u\x0004 Ã\x0088 \x0002OK  \x0003Â \x0007 =JSESSIONID=331555809B51B328278026CAE5D4AD67; Path=/; HttpOnly Â \x0001 \x001Ctext/html;charset=ISO-8859-1 Â \x0003 \x0003589 AB\x0002Q\x0003\x0002M<?xml version='1.0' encoding='UTF-8'?>
<web-app xmlns=""http://java.sun.com/xml/ns/javaee""
         xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
         xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-app_3_0.xsd""
         version=""3.0"">
    <context-param>
        <param-name>
            org.jboss.jbossfaces.WAR_BUNDLES_JSF_IMPL
        </param-name>
        <param-value>true</param-value>
    </context-param>
    <welcome-file-list>
        <welcome-file>index.jsp</welcome-file>
    </welcome-file-list>
</web-app> AB \x0002\x0005\x0001
",1.3.6.1.4.1.25623.1.0.143545,CVE-2020-1938,792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,aad2f783-25cb-4d3d-8f9a-6f466cc71d4a,,"Update Apache Tomcat to version 7.0.100, 8.5.51, 9.0.31 or later. For other products
  using Tomcat please contact the vendor for more information on fixed versions.","Apache Tomcat versions prior 7.0.100, 8.5.51 or 9.0.31 when the AJP connector
  is enabled.
  Other products like JBoss or Wildfly which are using Tomcat might be affected as well.","Apache Tomcat server has a file containing vulnerability, which can be used by
  an attacker to read or include any files in all webapp directories on Tomcat, such as webapp configuration files
  or source code.","Sends a crafted AJP request and checks the response.
Details:
Apache Tomcat AJP RCE Vulnerability (Ghostcat)
(OID: 1.3.6.1.4.1.25623.1.0.143545)
Version used: 2021-07-22T02:00:50Z
",,,"DFN-CERT-2021-1736,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0154",
172.28.130.190,,443,tcp,9.1,High,VendorFix,Apache Tomcat SecurityManager Information Disclosure Vulnerability (Windows),Apache Tomcat is prone to an information disclosure vulnerability.,"Installed version: 7.0.
Fixed version:     7.0.76
Installation
path / port:       443/tcp
",1.3.6.1.4.1.25623.1.0.810764,CVE-2017-5648,792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,bfba08e7-143d-4568-953a-c61923746e0b,"Successful exploitation will allow remote
  attackers to obtain sensitive information from requests other then their own.","Upgrade to version 9.0.0.M18,
  8.5.12, 8.0.42, 7.0.76 or later.","Apache Tomcat versions 9.0.0.M1 to 9.0.0.M17,
  Apache Tomcat versions 8.5.0 to 8.5.11,
  Apache Tomcat versions 8.0.0.RC1 to 8.0.41 and
  Apache Tomcat versions 7.0.0 to 7.0.75 on Windows","A some calls to application listeners
  did not use the appropriate facade object. When running an untrusted
  application under a SecurityManager, it was therefore possible for
  that untrusted application to retain a reference to the request or
  response object and thereby access and/or modify information associated
   with another web application.","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat 'SecurityManager' Information Disclosure Vulnerability (Window...
(OID: 1.3.6.1.4.1.25623.1.0.810764)
Version used: 2021-10-12T09:28:32Z
",,,"DFN-CERT-2018-0051,DFN-CERT-2017-1300,DFN-CERT-2017-1288,DFN-CERT-2017-1095,DFN-CERT-2017-0828,DFN-CERT-2017-0624,CB-K18/0047,CB-K17/1257,CB-K17/1246,CB-K17/1060,CB-K17/0801,CB-K17/0604",
172.28.130.190,,8080,tcp,9.1,High,VendorFix,Apache Tomcat SecurityManager Information Disclosure Vulnerability (Windows),Apache Tomcat is prone to an information disclosure vulnerability.,"Installed version: 7.0.
Fixed version:     7.0.76
Installation
path / port:       8080/tcp
",1.3.6.1.4.1.25623.1.0.810764,CVE-2017-5648,792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,80fd7fd5-5030-4a42-89fc-34a273b09f4f,"Successful exploitation will allow remote
  attackers to obtain sensitive information from requests other then their own.","Upgrade to version 9.0.0.M18,
  8.5.12, 8.0.42, 7.0.76 or later.","Apache Tomcat versions 9.0.0.M1 to 9.0.0.M17,
  Apache Tomcat versions 8.5.0 to 8.5.11,
  Apache Tomcat versions 8.0.0.RC1 to 8.0.41 and
  Apache Tomcat versions 7.0.0 to 7.0.75 on Windows","A some calls to application listeners
  did not use the appropriate facade object. When running an untrusted
  application under a SecurityManager, it was therefore possible for
  that untrusted application to retain a reference to the request or
  response object and thereby access and/or modify information associated
   with another web application.","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat 'SecurityManager' Information Disclosure Vulnerability (Window...
(OID: 1.3.6.1.4.1.25623.1.0.810764)
Version used: 2021-10-12T09:28:32Z
",,,"DFN-CERT-2018-0051,DFN-CERT-2017-1300,DFN-CERT-2017-1288,DFN-CERT-2017-1095,DFN-CERT-2017-0828,DFN-CERT-2017-0624,CB-K18/0047,CB-K17/1257,CB-K17/1246,CB-K17/1060,CB-K17/0801,CB-K17/0604",
172.28.130.190,,8443,tcp,9.1,High,VendorFix,Apache Tomcat SecurityManager Information Disclosure Vulnerability (Windows),Apache Tomcat is prone to an information disclosure vulnerability.,"Installed version: 7.0.
Fixed version:     7.0.76
Installation
path / port:       8443/tcp
",1.3.6.1.4.1.25623.1.0.810764,CVE-2017-5648,792ec9c1-c627-4155-a0a4-ee20e20b7279,SIPH Phase1 scan,2022-04-04T12:43:12Z,071a2a31-24fa-4c2f-a997-d8dc956dc13b,"Successful exploitation will allow remote
  attackers to obtain sensitive information from requests other then their own.","Upgrade to version 9.0.0.M18,
  8.5.12, 8.0.42, 7.0.76 or later.","Apache Tomcat versions 9.0.0.M1 to 9.0.0.M17,
  Apache Tomcat versions 8.5.0 to 8.5.11,
  Apache Tomcat versions 8.0.0.RC1 to 8.0.41 and
  Apache Tomcat versions 7.0.0 to 7.0.75 on Windows","A some calls to application listeners
  did not use the appropriate facade object. When running an untrusted
  application under a SecurityManager, it was therefore possible for
  that untrusted application to retain a reference to the request or
  response object and thereby access and/or modify information associated
   with another web application.","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat 'SecurityManager' Information Disclosure Vulnerability (Window...
(OID: 1.3.6.1.4.1.25623.1.0.810764)
Version used: 2021-10-12T09:28:32Z
",,,"DFN-CERT-2018-0051,DFN-CERT-2017-1300,DFN-CERT-2017-1288,DFN-CERT-2017-1095,DFN-CERT-2017-0828,DFN-CERT-2017-0624,CB-K18/0047,CB-K17/1257,CB-K17/1246,CB-K17/1060,CB-K17/0801,CB-K17/0604",
