March 2022                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Customer,Package,EPS & GB/Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Average/Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,xspringam,2,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,2.0859,2.0309,1.7593,1.9570,1.6198,1.4515,1.9876,2.1255,2.0059,1.9896,1.9910,1.4801,1.4560,2.0508,2.0120,2.1410,2.0943,1.9284,1.5100,,,,,,,,,,,,,1.8777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CHEWATHAI,1,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.1150,0.1556,0.1575,0.1788,0.1259,0.1081,0.1805,0.2182,0.1667,0.6735,0.6161,0.6569,0.5385,0.7754,0.5695,0.5428,0.5908,0.4952,0.4451,,,,,,,,,,,,,0.3847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,WEALTH,1,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.0071,0.0069,0.0074,0.0093,0.0069,0.0069,0.0072,0.0090,0.0063,0.0083,0.0173,0.0014,0.0015,0.0015,0.0016,0.0017,0.0018,0.0137,0.0016,,,,,,,,,,,,,0.0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CAD,3,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.2443,0.2144,0.1572,0.1526,0.0494,0.0500,0.1466,0.1612,0.1770,0.1499,0.1620,0.0674,0.0506,0.1815,0.1988,0.6849,0.1999,0.2162,0.0706,,,,,,,,,,,,,0.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ONLB,4,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.8347,0.8559,0.8932,0.8448,0.4757,0.4571,0.8078,0.2095,0.2269,0.2100,0.2675,0.2221,0.2868,0.2529,0.2425,0.2299,0.2176,0.2014,0.1057,,,,,,,,,,,,,0.4127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LH,2,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.3219,0.2932,0.3062,0.2158,0.2287,0.2979,0.2126,0.0554,0.0592,0.0499,0.0630,0.0576,0.0724,0.0660,0.0658,0.0628,0.0529,0.0411,0.0200,,,,,,,,,,,,,0.1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,EXIM,2,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,,,,,,,,,0.0338,0.0321,0.0739,0.1009,0.1085,0.1129,0.1100,0.0813,0.0395,0.0274,0.0126,,,,,,,,,,,,,0.0666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CODI,1,EPS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,STEC,1,EPS,0.9180,0.8627,0.8815,0.8831,0.9035,0.9189,0.8603,0.8281,0.8381,0.9363,0.8711,0.9536,0.9729,0.7711,0.8972,0.9362,0.8008,1.0159,0.8864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.0436,0.0410,0.0419,0.0420,0.0429,0.0437,0.0409,0.0394,0.0398,0.0445,0.0414,0.0453,0.0462,0.0366,0.0426,0.0445,0.0381,0.0483,0.0421,,,,,,,,,,,,,0.0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,UFPD,1,EPS,11.9786,12.4883,13.7011,13.7192,10.1030,9.7360,11.9702,11.8411,11.5198,11.7712,12.5007,9.4655,9.2249,10.1530,11.1388,12.4089,8.7581,10.6088,9.3879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.5692,0.5934,0.6511,0.6519,0.4801,0.4627,0.5688,0.5627,0.5474,0.5594,0.5940,0.4498,0.4384,0.4825,0.5293,0.5897,0.4162,0.5041,0.4461,,,,,,,,,,,,,0.5314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,EEF,1,EPS,1.7483,1.6181,1.5593,1.6339,1.6461,1.6513,0.0000,1.6752,1.7270,1.7114,1.8181,1.6548,1.8075,1.7299,1.9889,2.0492,1.5905,1.9710,1.7550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.0831,0.0769,0.0741,0.0776,0.0782,0.0785,0.0843,0.0796,0.0821,0.0813,0.0864,0.0786,0.0859,0.0822,0.0945,0.0974,0.0756,0.0937,0.0834,,,,,,,,,,,,,0.0828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LABAI,1,EPS,1.5942,1.5426,1.4734,1.2072,1.0116,1.4892,1.0952,0.0121,0.1933,0.0357,0.1707,0.2495,0.3638,0.2119,0.2574,0.2682,0.2017,0.2648,0.2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GB/Day,0.0758,0.0733,0.0700,0.0574,0.0481,0.0708,0.0520,0.0006,0.0092,0.0017,0.0081,0.0119,0.0173,0.0101,0.0122,0.0127,0.0096,0.0126,0.0107,,,,,,,,,,,,,0.0297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
